DATA,SPEI_1,SPEI_2,SPEI_3,SPEI_4,SPEI_5,SPEI_6,SPEI_7,SPEI_8,SPEI_9,SPEI_10,SPEI_11,SPEI_12,SPEI_13,SPEI_14,SPEI_15,SPEI_16,SPEI_17,SPEI_18,SPEI_19,SPEI_20,SPEI_21,SPEI_22,SPEI_23,SPEI_24,SPEI_25,SPEI_26,SPEI_27,SPEI_28,SPEI_29,SPEI_30,SPEI_31,SPEI_32,SPEI_33,SPEI_34,SPEI_35,SPEI_36,SPEI_37,SPEI_38,SPEI_39,SPEI_40,SPEI_41,SPEI_42,SPEI_43,SPEI_44,SPEI_45,SPEI_46,SPEI_47,SPEI_48
Jan1950,0.16025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1950,-0.15187,-0.08322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1950,0.89466,0.30681,0.20855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1950,-0.49491,0.28722,0.02479,0.02092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May1950,0.29725,-0.31502,0.31599,0.05598,0.0372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun1950,0.05012,0.2033,-0.31607,0.31628,0.04057,0.03837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul1950,-1.13211,-0.73864,-0.32064,-0.6153,0.03264,-0.12668,-0.08292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug1950,-0.78949,-1.11534,-0.95917,-0.67593,-0.77962,-0.19101,-0.30357,-0.20363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep1950,-0.85371,-1.12954,-1.30262,-1.28379,-1.18468,-1.16934,-0.61475,-0.64226,-0.43102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct1950,0.44571,-0.0494,-0.26192,-0.48064,-0.50141,-0.45248,-0.58616,-0.21408,-0.29718,-0.19784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov1950,-0.2428,0.05531,-0.28486,-0.43855,-0.62693,-0.63878,-0.58792,-0.73658,-0.34912,-0.43202,-0.34986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec1950,1.59531,1.06652,1.21157,1.00046,0.87273,0.79078,0.80392,0.80013,0.62405,0.75288,0.60001,0.53591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan1951,1.0097,1.75993,1.36781,1.4744,1.29634,1.16408,1.0912,1.09432,1.11076,0.95511,1.11181,0.99739,0.90913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1951,-0.34973,0.38557,1.47062,1.09305,1.17725,1.00393,0.89565,0.82552,0.82972,0.85688,0.72616,0.86665,0.75161,0.70968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1951,0.83449,0.12185,0.58353,1.58794,1.18941,1.263,1.11304,1.00533,0.93989,0.94235,0.96982,0.84257,0.9779,0.8837,0.83225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1951,-1.39498,-0.28813,-0.45445,0.1544,1.22362,0.92093,1.00666,0.85394,0.75591,0.6866,0.68778,0.70842,0.58236,0.72829,0.62481,0.59499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May1951,-0.05368,-1.1836,-0.38959,-0.5155,0.10496,1.18041,0.89517,0.98744,0.84413,0.75586,0.68937,0.69218,0.71607,0.60119,0.72557,0.61113,0.58003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun1951,-0.48288,-0.33836,-1.32644,-0.50176,-0.61106,0.0503,1.13681,0.863,0.96592,0.81661,0.72999,0.66233,0.66748,0.68954,0.57131,0.69814,0.5821,0.55181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul1951,-0.99847,-0.97305,-0.74911,-1.46946,-0.68843,-0.7449,-0.056,1.03534,0.78561,0.90325,0.75282,0.66794,0.59749,0.60219,0.62237,0.49943,0.62735,0.50175,0.47735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug1951,0.83292,0.12256,-0.15096,-0.21307,-0.93639,-0.36506,-0.55901,0.07361,1.07975,0.83686,0.94881,0.80778,0.72468,0.65668,0.66188,0.68282,0.55853,0.68503,0.56532,0.53821,,,,,,,,,,,,,,,,,,,,,,,,,,,,
