DATA,SPEI_1,SPEI_2,SPEI_3,SPEI_4,SPEI_5,SPEI_6,SPEI_7,SPEI_8,SPEI_9,SPEI_10,SPEI_11,SPEI_12,SPEI_13,SPEI_14,SPEI_15,SPEI_16,SPEI_17,SPEI_18,SPEI_19,SPEI_20,SPEI_21,SPEI_22,SPEI_23,SPEI_24,SPEI_25,SPEI_26,SPEI_27,SPEI_28,SPEI_29,SPEI_30,SPEI_31,SPEI_32,SPEI_33,SPEI_34,SPEI_35,SPEI_36,SPEI_37,SPEI_38,SPEI_39,SPEI_40,SPEI_41,SPEI_42,SPEI_43,SPEI_44,SPEI_45,SPEI_46,SPEI_47,SPEI_48
Jan1950,0.85889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1950,-0.0368,0.5185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1950,-0.85423,-0.63284,-0.03013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1950,0.44199,-0.48421,-0.37955,0.10907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May1950,-0.10547,0.18565,-0.51553,-0.45854,0.01753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun1950,0.65283,0.27438,0.40023,-0.31082,-0.29468,0.14383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul1950,-0.21195,0.21748,0.01386,0.15587,-0.4397,-0.4038,0.02492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug1950,-0.83559,-0.68396,-0.26688,-0.38153,-0.22256,-0.69305,-0.65803,-0.21381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep1950,-0.37168,-0.77606,-0.73226,-0.45124,-0.49108,-0.34292,-0.75489,-0.77505,-0.37469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct1950,1.16277,0.72802,0.31613,0.18634,0.33198,0.25217,0.35946,-0.12057,-0.21214,0.08363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov1950,0.0422,0.69797,0.40932,0.06792,0.00594,0.16076,0.09837,0.23174,-0.20765,-0.28275,0.00359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec1950,1.93162,1.36929,1.68944,1.55275,1.24642,1.09964,1.20957,1.07768,1.08162,0.71236,0.5826,0.748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan1951,-1.00244,0.96079,0.80096,1.20623,0.99458,0.69285,0.59657,0.69774,0.60251,0.64435,0.31269,0.20596,0.39727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1951,0.32455,-0.49869,0.82988,0.74547,1.1323,0.92992,0.67098,0.60252,0.70026,0.61554,0.64988,0.36108,0.25905,0.41545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1951,0.47816,0.44076,-0.21086,0.77839,0.72522,1.08711,0.92139,0.67901,0.61171,0.70358,0.61865,0.65001,0.39738,0.31484,0.45205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1951,-0.06043,0.32169,0.37602,-0.2081,0.72999,0.68507,1.03579,0.86502,0.63672,0.57472,0.66931,0.5887,0.6173,0.38823,0.30308,0.44177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May1951,0.99139,0.72885,0.75375,0.66632,0.11273,0.91834,0.84292,1.1759,1.05019,0.83772,0.77747,0.85026,0.77392,0.80194,0.56975,0.47297,0.5977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun1951,0.01279,0.80505,0.59764,0.6452,0.60186,0.08986,0.88111,0.808,1.13849,1.01727,0.81227,0.75272,0.82518,0.75159,0.78093,0.54967,0.46925,0.59004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul1951,-0.99366,-0.69256,0.1884,0.05932,0.23621,0.29954,-0.17236,0.69115,0.63019,0.97075,0.8338,0.62747,0.57417,0.65947,0.58455,0.62097,0.40139,0.33146,0.47241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug1951,-0.14366,-0.70946,-0.62034,-0.00774,-0.0867,0.0631,0.12045,-0.27072,0.57554,0.52995,0.89438,0.74778,0.53936,0.48923,0.57964,0.51676,0.55424,0.34602,0.28254,0.41969,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep1951,0.25006,0.07664,-0.36503,-0.39084,0.07238,0.01564,0.10256,0.08201,-0.27122,0.51384,0.46706,0.85246,0.70309,0.49476,0.44775,0.54436,0.49146,0.52591,0.32501,0.26154,0.40337,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct1951,0.43801,0.41243,0.23568,-0.10203,-0.14025,0.28163,0.24924,0.29274,0.29227,-0.12568,0.65023,0.60448,0.96256,0.81944,0.62257,0.57619,0.66354,0.59658,0.63215,0.42321,0.34793,0.49147,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov1951,-0.49552,-0.21019,-0.19726,-0.31618,-0.53492,-0.54813,-0.13478,-0.1199,-0.04816,-0.02359,-0.35986,0.40033,0.38234,0.74373,0.58743,0.3997,0.3556,0.44332,0.38027,0.41724,0.23394,0.17555,0.33575,,,,,,,,,,,,,,,,,,,,,,,,,
Dec1951,-0.91185,-1.02498,-0.66702,-0.69208,-0.76114,-0.92669,-0.93784,-0.59741,-0.56687,-0.40105,-0.3327,-0.6002,0.14822,0.14047,0.4772,0.3242,0.15389,0.11175,0.20047,0.16025,0.20239,0.04683,-0.00868,0.15248,,,,,,,,,,,,,,,,,,,,,,,,
Jan1952,1.17496,0.30387,-0.04456,0.13076,0.00748,-0.12114,-0.33273,-0.34737,-0.04599,-0.05937,0.07094,0.08063,-0.21415,0.43012,0.41016,0.70931,0.56977,0.39267,0.34612,0.42721,0.39136,0.42791,0.26492,0.21326,0.34086,,,,,,,,,,,,,,,,,,,,,,,
Feb1952,-0.50051,0.58233,-0.09372,-0.28427,-0.1055,-0.19656,-0.28474,-0.45574,-0.44213,-0.19329,-0.22078,-0.07782,-0.05803,-0.33134,0.272,0.25645,0.545,0.39671,0.22546,0.17619,0.26215,0.23166,0.27326,0.1312,0.08414,0.21763,,,,,,,,,,,,,,,,,,,,,,
Mar1952,-0.66511,-0.8045,0.10502,-0.37115,-0.53731,-0.42239,-0.47555,-0.53985,-0.68118,-0.66162,-0.43617,-0.4715,-0.29667,-0.24809,-0.48039,0.09643,0.08368,0.35815,0.21248,0.05928,0.00814,0.09803,0.06606,0.11162,-0.01491,-0.06275,0.06678,,,,,,,,,,,,,,,,,,,,,
Apr1952,-1.8307,-1.59186,-1.42974,-0.42374,-0.77202,-0.93919,-0.82504,-0.8213,-0.84438,-0.97664,-0.96521,-0.72668,-0.74735,-0.57827,-0.51395,-0.71164,-0.13214,-0.14824,0.10937,-0.04464,-0.18416,-0.23072,-0.14325,-0.17015,-0.12583,-0.23333,-0.26758,-0.12162,,,,,,,,,,,,,,,,,,,,
May1952,-0.60523,-1.68806,-1.65034,-1.49035,-0.63859,-0.91601,-1.06926,-0.94672,-0.94543,-0.96485,-1.09544,-1.08721,-0.86136,-0.86627,-0.69916,-0.61857,-0.79145,-0.21671,-0.23837,-0.00241,-0.14542,-0.2628,-0.30113,-0.21783,-0.24086,-0.19661,-0.30851,-0.34408,-0.19611,,,,,,,,,,,,,,,,,,,
Jun1952,-1.16576,-1.19952,-1.94387,-1.80005,-1.668,-0.87646,-1.08763,-1.2313,-1.11242,-1.10642,-1.1145,-1.23851,-1.2303,-1.01161,-1.01095,-0.84687,-0.74851,-0.90365,-0.3317,-0.35163,-0.12181,-0.25866,-0.36885,-0.40632,-0.32529,-0.34832,-0.30635,-0.41618,-0.44884,-0.29897,,,,,,,,,,,,,,,,,,
Jul1952,-1.03793,-1.44454,-1.47957,-1.93307,-1.86422,-1.78199,-1.07715,-1.23862,-1.35782,-1.24202,-1.2268,-1.22612,-1.34404,-1.34422,-1.13692,-1.13081,-0.97197,-0.86815,-1.00253,-0.43981,-0.4526,-0.23146,-0.36248,-0.46595,-0.50089,-0.4258,-0.44779,-0.40287,-0.50339,-0.53209,-0.38416,,,,,,,,,,,,,,,,,
Aug1952,-0.80856,-1.14646,-1.51655,-1.48129,-1.91013,-1.85323,-1.76039,-1.19012,-1.33285,-1.45395,-1.3663,-1.34321,-1.33332,-1.44453,-1.44464,-1.25002,-1.23885,-1.08286,-0.97528,-1.09859,-0.54731,-0.5591,-0.33878,-0.46422,-0.55595,-0.5874,-0.51541,-0.53199,-0.48991,-0.59121,-0.61438,-0.46001,,,,,,,,,,,,,,,,
Sep1952,0.10157,-0.3698,-0.75585,-1.17523,-1.26927,-1.79874,-1.74676,-1.64049,-1.14289,-1.28717,-1.40155,-1.34542,-1.32867,-1.32041,-1.42122,-1.4273,-1.25163,-1.24482,-1.09921,-1.00396,-1.11713,-0.57557,-0.59238,-0.36057,-0.48978,-0.5818,-0.60971,-0.54084,-0.56064,-0.51296,-0.61202,-0.63934,-0.48768,,,,,,,,,,,,,,,
Oct1952,1.13752,0.91417,0.50669,0.14967,-0.23928,-0.4319,-1.00618,-1.20687,-1.26812,-0.74002,-0.95699,-1.09027,-1.01395,-1.01318,-1.02694,-1.13976,-1.14193,-0.95056,-0.95226,-0.78581,-0.71659,-0.86853,-0.32526,-0.33245,-0.0979,-0.22088,-0.32655,-0.35119,-0.28414,-0.31412,-0.26348,-0.37011,-0.40371,-0.26725,,,,,,,,,,,,,,
Nov1952,0.97816,1.36244,1.24112,0.90556,0.59453,0.28089,0.0489,-0.42425,-0.71723,-0.84654,-0.37375,-0.61377,-0.76164,-0.67872,-0.69504,-0.71636,-0.83476,-0.82913,-0.64739,-0.65225,-0.49647,-0.44783,-0.6214,-0.11268,-0.12342,0.11087,-0.01189,-0.13483,-0.1623,-0.09675,-0.12778,-0.0793,-0.19468,-0.2268,-0.10936,,,,,,,,,,,,,
Dec1952,0.38213,0.90303,1.302,1.25631,0.9352,0.66324,0.37029,0.13275,-0.30326,-0.52987,-0.67174,-0.23319,-0.44602,-0.58905,-0.51079,-0.53415,-0.57017,-0.69125,-0.68076,-0.4921,-0.50513,-0.35747,-0.32586,-0.5106,-0.01643,-0.03396,0.18836,0.06782,-0.054,-0.08473,-0.02013,-0.05332,-0.00663,-0.12288,-0.15726,-0.0422,,,,,,,,,,,,
Jan1953,-0.43407,-0.08248,0.57743,1.02014,0.90417,0.60498,0.35837,0.08725,-0.1207,-0.51762,-0.67313,-0.79747,-0.37697,-0.56882,-0.68878,-0.62636,-0.66426,-0.70347,-0.81705,-0.8072,-0.62443,-0.63352,-0.50186,-0.4638,-0.63513,-0.15398,-0.17666,0.03266,-0.07977,-0.1952,-0.22561,-0.16125,-0.19,-0.14949,-0.25822,-0.27891,-0.15522,,,,,,,,,,,
Feb1953,0.85656,0.19809,0.27259,0.76328,1.13666,1.0467,0.79431,0.59876,0.39541,0.19156,-0.20752,-0.38272,-0.53314,-0.16869,-0.3833,-0.51485,-0.4594,-0.50455,-0.55488,-0.66977,-0.65303,-0.48169,-0.49576,-0.36113,-0.33025,-0.50976,-0.04441,-0.07163,0.14235,0.03275,-0.0889,-0.1196,-0.0522,-0.08033,-0.03577,-0.15225,-0.16998,-0.05433,,,,,,,,,,
Mar1953,-1.49254,-0.37448,-0.57585,-0.36512,0.15236,0.55129,0.44041,0.20724,0.03294,-0.14174,-0.31275,-0.65651,-0.75339,-0.84268,-0.48707,-0.65711,-0.77387,-0.72864,-0.75762,-0.78976,-0.89374,-0.87856,-0.72726,-0.7329,-0.6079,-0.57598,-0.72723,-0.2978,-0.33021,-0.12471,-0.22376,-0.32545,-0.3524,-0.29035,-0.30844,-0.2714,-0.38052,-0.3961,-0.27094,,,,,,,,,
Apr1953,-0.42563,-1.45524,-0.48505,-0.66573,-0.43752,0.06213,0.44223,0.33979,0.126,-0.04146,-0.20406,-0.36159,-0.69511,-0.80263,-0.89004,-0.53491,-0.70067,-0.82394,-0.78328,-0.80888,-0.83609,-0.93462,-0.92188,-0.77555,-0.78101,-0.6559,-0.61809,-0.76231,-0.33978,-0.37584,-0.1667,-0.26476,-0.3646,-0.38959,-0.32704,-0.34448,-0.30828,-0.4175,-0.43241,-0.30495,,,,,,,,
May1953,0.44995,0.07369,-1.00287,-0.32044,-0.51563,-0.3412,0.11223,0.49625,0.42128,0.20627,0.04341,-0.12941,-0.29585,-0.619,-0.72485,-0.81109,-0.45666,-0.62406,-0.75186,-0.71205,-0.73201,-0.75174,-0.84566,-0.8328,-0.68905,-0.69646,-0.58471,-0.55472,-0.69703,-0.29277,-0.32833,-0.12447,-0.22245,-0.32584,-0.34966,-0.29053,-0.30642,-0.27266,-0.37846,-0.39605,-0.27417,,,,,,,
Jun1953,0.61519,0.66923,0.28366,-0.75521,-0.17659,-0.3699,-0.23021,0.19786,0.55806,0.49892,0.28959,0.12668,-0.04099,-0.21632,-0.54334,-0.64439,-0.73261,-0.38142,-0.55394,-0.68486,-0.64534,-0.66694,-0.69039,-0.78582,-0.77399,-0.63105,-0.64113,-0.5339,-0.50696,-0.65299,-0.25651,-0.28914,-0.08216,-0.18153,-0.2885,-0.3128,-0.25409,-0.26979,-0.23599,-0.34661,-0.36774,-0.25069,,,,,,
Jul1953,-0.29269,0.14165,0.34096,0.02228,-0.84999,-0.31102,-0.48471,-0.32014,0.10523,0.4633,0.39825,0.19682,0.04005,-0.12353,-0.29368,-0.60411,-0.69719,-0.77877,-0.4238,-0.59186,-0.71865,-0.68115,-0.69997,-0.72191,-0.81418,-0.80604,-0.66583,-0.67264,-0.56284,-0.53478,-0.68251,-0.28779,-0.31921,-0.11421,-0.21256,-0.31688,-0.34303,-0.28357,-0.29839,-0.26349,-0.37069,-0.39176,-0.27745,,,,,
Aug1953,-0.32591,-0.43567,-0.10066,0.04485,-0.17782,-0.92013,-0.47829,-0.59016,-0.43535,-0.02684,0.33988,0.27053,0.0773,-0.07365,-0.2263,-0.37598,-0.67617,-0.76021,-0.83773,-0.48919,-0.6518,-0.77606,-0.73607,-0.75307,-0.76822,-0.85728,-0.85117,-0.708,-0.71778,-0.61217,-0.57997,-0.72175,-0.32269,-0.35446,-0.15566,-0.25248,-0.35388,-0.37905,-0.32058,-0.33448,-0.29713,-0.40145,-0.42142,-0.30901,,,,
Sep1953,-0.29957,-0.43587,-0.51777,-0.28818,-0.11473,-0.27884,-0.93905,-0.60431,-0.69553,-0.55708,-0.19695,0.18011,0.09866,-0.0794,-0.21704,-0.35669,-0.488,-0.77787,-0.8554,-0.93195,-0.582,-0.73318,-0.86275,-0.81502,-0.83079,-0.84261,-0.92844,-0.92749,-0.78645,-0.79241,-0.6814,-0.65178,-0.79739,-0.39075,-0.42518,-0.22913,-0.32614,-0.4211,-0.44827,-0.39065,-0.39935,-0.36677,-0.46569,-0.48183,-0.371,,,
Oct1953,-1.10517,-1.25351,-1.27213,-1.26018,-1.02546,-0.71435,-0.82203,-1.34918,-0.95511,-1.05104,-0.86019,-0.49752,-0.13015,-0.21913,-0.37216,-0.50234,-0.64555,-0.77084,-1.02352,-1.09696,-1.15326,-0.80747,-0.95047,-1.07829,-1.02937,-1.01203,-1.01005,-1.09363,-1.10367,-0.95961,-0.96222,-0.85386,-0.82303,-0.95476,-0.55232,-0.59324,-0.4053,-0.48738,-0.57732,-0.60276,-0.54973,-0.5516,-0.51965,-0.61593,-0.63753,-0.51777,,
