DATA,SPEI_1,SPEI_2,SPEI_3,SPEI_4,SPEI_5,SPEI_6,SPEI_7,SPEI_8,SPEI_9,SPEI_10,SPEI_11,SPEI_12,SPEI_13,SPEI_14,SPEI_15,SPEI_16,SPEI_17,SPEI_18,SPEI_19,SPEI_20,SPEI_21,SPEI_22,SPEI_23,SPEI_24,SPEI_25,SPEI_26,SPEI_27,SPEI_28,SPEI_29,SPEI_30,SPEI_31,SPEI_32,SPEI_33,SPEI_34,SPEI_35,SPEI_36,SPEI_37,SPEI_38,SPEI_39,SPEI_40,SPEI_41,SPEI_42,SPEI_43,SPEI_44,SPEI_45,SPEI_46,SPEI_47,SPEI_48
Jan1950,0.97509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1950,-0.38933,0.38344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1950,0.62633,0.13472,0.54692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1950,-0.53765,0.07567,-0.15637,0.21791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May1950,1.47489,0.78876,0.95687,0.67366,0.85454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun1950,0.43113,1.2251,0.74014,0.89719,0.64515,0.85869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul1950,-1.35635,-0.71849,0.53653,0.20683,0.42278,0.22642,0.46869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug1950,-0.71462,-1.32378,-0.92756,0.20107,-0.02661,0.17023,0.02834,0.25828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep1950,0.41851,-0.16889,-0.73956,-0.62463,0.27475,0.06867,0.23634,0.07192,0.31157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct1950,-0.17443,-0.03206,-0.35071,-0.73742,-0.68147,-0.01864,-0.1716,-0.01571,-0.15291,0.09177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov1950,-0.31224,-0.47101,-0.32174,-0.59505,-0.98882,-0.92745,-0.19767,-0.33558,-0.18066,-0.31328,-0.06656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec1950,0.41829,-0.10435,-0.31054,-0.18803,-0.43068,-0.82367,-0.76376,-0.05229,-0.24207,-0.09708,-0.25262,-0.03786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan1951,1.77196,1.35564,0.91998,0.6272,0.62207,0.44598,0.15794,0.19346,0.6179,0.41482,0.49994,0.34462,0.52168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1951,0.28758,1.47398,1.23784,0.88065,0.63066,0.6215,0.46214,0.22071,0.26011,0.63528,0.45308,0.53402,0.3816,0.52922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1951,0.36965,0.41797,1.35,1.18335,0.87378,0.62536,0.6117,0.46872,0.24529,0.29124,0.64308,0.46999,0.54673,0.40474,0.54566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1951,-0.28917,0.0417,0.20814,0.993,0.92723,0.69309,0.47802,0.47279,0.3454,0.1248,0.17759,0.50408,0.32423,0.4113,0.27171,0.41234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May1951,-0.74588,-0.7715,-0.44961,-0.20007,0.65053,0.64028,0.45646,0.29939,0.31737,0.20432,-0.02752,0.01392,0.35274,0.18204,0.26269,0.12324,0.26624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun1951,-0.06189,-0.70956,-0.79625,-0.52645,-0.31529,0.53562,0.55032,0.32863,0.20265,0.22793,0.11594,-0.11073,-0.07256,0.27753,0.11984,0.20008,0.06769,0.20519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul1951,0.55093,0.17371,-0.42317,-0.49192,-0.29676,-0.15121,0.60262,0.58226,0.35805,0.23384,0.2662,0.16311,-0.04902,-0.01233,0.31311,0.17061,0.26044,0.14044,0.26834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug1951,-0.29564,0.14548,-0.04412,-0.50249,-0.52562,-0.37226,-0.23319,0.46116,0.45856,0.26099,0.1348,0.16174,0.06928,-0.13963,-0.09813,0.22396,0.09457,0.18351,0.07963,0.20488,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep1951,0.13267,-0.23585,0.05779,-0.12118,-0.52549,-0.54055,-0.3918,-0.29313,0.40576,0.40854,0.20402,0.04458,0.08945,-0.00579,-0.21537,-0.17843,0.14521,0.01993,0.13014,0.03472,0.17555,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct1951,2.06633,1.82952,1.74143,1.69044,1.64288,1.44399,1.17074,1.1628,1.1551,1.52328,1.48274,1.29356,1.14666,1.13087,1.02443,0.83484,0.85205,1.117,0.99696,1.06557,0.97601,1.08242,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov1951,-0.08391,1.81339,1.6752,1.58138,1.57375,1.53106,1.30096,1.0838,1.07692,1.06578,1.4496,1.4344,1.22862,1.0853,1.0842,0.98366,0.79039,0.79481,1.05546,0.92427,0.9969,0.90598,1.01936,,,,,,,,,,,,,,,,,,,,,,,,,
Dec1951,0.15651,-0.13642,1.76872,1.61845,1.51045,1.52577,1.46854,1.26448,1.07366,1.07143,1.07823,1.50697,1.48305,1.26559,1.10266,1.0995,0.98775,0.77913,0.79104,1.07049,0.9317,1.01658,0.92508,1.04214,,,,,,,,,,,,,,,,,,,,,,,,
Jan1952,1.02786,0.69663,0.37495,1.77853,1.61278,1.52598,1.53707,1.50044,1.3365,1.17548,1.17627,1.17982,1.55546,1.52781,1.34663,1.21201,1.20309,1.10468,0.9139,0.9262,1.17797,1.04108,1.13074,1.04386,1.15636,,,,,,,,,,,,,,,,,,,,,,,
Feb1952,0.3479,0.86563,0.66123,0.43868,1.69781,1.56138,1.46847,1.48021,1.44746,1.30192,1.16948,1.16874,1.17407,1.52882,1.51866,1.36278,1.2272,1.22192,1.12572,0.9321,0.95016,1.21025,1.05875,1.14907,1.05843,1.16916,,,,,,,,,,,,,,,,,,,,,,
Mar1952,-0.97927,-0.36985,0.23109,0.19035,0.05795,1.45981,1.347,1.25784,1.28194,1.24595,1.08234,0.95952,0.96871,0.96965,1.34394,1.33964,1.18132,1.03185,1.03498,0.93715,0.74249,0.75518,1.02511,0.88865,0.98254,0.90231,1.01394,,,,,,,,,,,,,,,,,,,,,
Apr1952,-1.59219,-1.80626,-1.17331,-0.39865,-0.33323,-0.37849,1.13516,1.0365,0.95388,0.9988,0.96917,0.77264,0.63995,0.66565,0.66221,1.0491,1.05671,0.90502,0.75468,0.77221,0.6717,0.47385,0.47015,0.73939,0.62707,0.7264,0.65983,0.78768,,,,,,,,,,,,,,,,,,,,
