DATA,SPEI_1,SPEI_2,SPEI_3,SPEI_4,SPEI_5,SPEI_6,SPEI_7,SPEI_8,SPEI_9,SPEI_10,SPEI_11,SPEI_12,SPEI_13,SPEI_14,SPEI_15,SPEI_16,SPEI_17,SPEI_18,SPEI_19,SPEI_20,SPEI_21,SPEI_22,SPEI_23,SPEI_24,SPEI_25,SPEI_26,SPEI_27,SPEI_28,SPEI_29,SPEI_30,SPEI_31,SPEI_32,SPEI_33,SPEI_34,SPEI_35,SPEI_36,SPEI_37,SPEI_38,SPEI_39,SPEI_40,SPEI_41,SPEI_42,SPEI_43,SPEI_44,SPEI_45,SPEI_46,SPEI_47,SPEI_48
Jan1950,0.25448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1950,-1.60347,-0.8177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1950,0.03189,-1.15714,-0.73251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1950,-0.26136,-0.09485,-1.14356,-0.75427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May1950,2.17258,1.37342,0.91213,-0.39724,-0.21155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun1950,0.23542,1.9462,1.29637,0.88314,-0.38548,-0.19209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul1950,-0.53578,-0.25387,1.65045,1.12533,0.76014,-0.43747,-0.22354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug1950,0.48995,-0.00815,0.04271,1.53697,1.08884,0.78509,-0.32562,-0.14306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep1950,0.77165,0.70742,0.35648,0.30274,1.44399,1.12074,0.83814,-0.2317,-0.08568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct1950,0.05038,0.24976,0.33184,0.20938,0.18618,0.88971,0.74285,0.5812,-0.29804,-0.18983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov1950,0.56044,0.24498,0.3639,0.44733,0.35838,0.33261,0.90796,0.79064,0.65339,-0.20487,-0.09151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec1950,-0.18577,0.07703,-0.09647,0.0278,0.08061,0.02469,0.01405,0.58827,0.45034,0.36486,-0.35843,-0.21058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan1951,0.96944,0.48671,0.58042,0.45754,0.51224,0.54712,0.51676,0.51198,0.85167,0.75055,0.68691,0.15753,0.13733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1951,0.54759,0.96604,0.56963,0.66201,0.53303,0.58296,0.61791,0.58653,0.58193,0.91264,0.81349,0.7602,0.24127,0.19859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1951,-0.14593,0.29377,0.77193,0.43152,0.52402,0.40705,0.45625,0.48414,0.4502,0.4463,0.77456,0.6726,0.61795,0.11095,0.10972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1951,-0.48198,-0.32948,0.11175,0.6104,0.30783,0.40656,0.30314,0.35438,0.38352,0.35531,0.35579,0.66438,0.56494,0.52186,0.03622,0.05354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May1951,-0.41673,-0.75402,-0.52385,-0.02378,0.54611,0.261,0.37058,0.26571,0.31689,0.34665,0.31759,0.31823,0.6295,0.52859,0.48284,0.00423,0.02902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun1951,-0.12119,-0.47668,-0.77437,-0.55757,-0.06477,0.51739,0.2441,0.35323,0.25026,0.30022,0.32869,0.3,0.29995,0.60912,0.50747,0.46041,-0.00565,0.01959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul1951,0.06697,-0.09505,-0.36641,-0.65351,-0.50865,-0.04374,0.52955,0.26077,0.36362,0.26256,0.31114,0.33849,0.30737,0.30638,0.61081,0.50965,0.45892,0.00307,0.02692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug1951,-0.73719,-0.44334,-0.42644,-0.57215,-0.77071,-0.6067,-0.12493,0.4655,0.21104,0.31665,0.21606,0.26435,0.2926,0.26122,0.26021,0.56251,0.46126,0.40933,-0.03013,-0.0034,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep1951,1.24261,0.69745,0.5536,0.37526,0.18256,-0.15355,-0.23504,0.12872,0.61813,0.35223,0.44648,0.33844,0.3841,0.41013,0.37743,0.37521,0.6679,0.57299,0.51742,0.06393,0.07694,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct1951,1.37679,1.44521,1.34792,1.31455,1.25064,1.12515,0.94898,0.71939,0.77587,1.00914,0.75554,0.79433,0.70456,0.73031,0.74901,0.71385,0.70506,0.96297,0.89809,0.84613,0.42431,0.36136,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov1951,1.37275,1.67628,1.77565,1.70137,1.6871,1.65211,1.54064,1.43681,1.26687,1.28145,1.37271,1.12749,1.11477,1.04121,1.06011,1.07732,1.04467,1.03282,1.25558,1.21716,1.16653,0.73875,0.64048,,,,,,,,,,,,,,,,,,,,,,,,,
Dec1951,0.37757,1.10422,1.59565,1.69554,1.64525,1.63791,1.59961,1.50412,1.35956,1.19547,1.24754,1.30026,1.07418,1.06707,0.99697,1.01477,1.02987,1.00198,0.99248,1.20603,1.1567,1.11371,0.73111,0.64289,,,,,,,,,,,,,,,,,,,,,,,,
Jan1952,0.66675,0.53401,1.04753,1.40935,1.49192,1.43842,1.43371,1.39191,1.31614,1.20929,1.09911,1.14804,1.21739,1.04087,1.04587,0.98336,0.99447,1.00615,0.98226,0.97298,1.15576,1.11076,1.07933,0.751,0.67344,,,,,,,,,,,,,,,,,,,,,,,
Feb1952,0.58102,0.73449,0.62963,1.12155,1.51233,1.58957,1.52373,1.51443,1.47461,1.3958,1.29992,1.19264,1.2598,1.298,1.1014,1.09465,1.03046,1.04789,1.05939,1.03352,1.02208,1.20526,1.15611,1.12134,0.79758,0.71663,,,,,,,,,,,,,,,,,,,,,,
Mar1952,0.18397,0.48967,0.66217,0.58401,1.04057,1.44738,1.52207,1.45654,1.44803,1.40773,1.33282,1.24506,1.13867,1.22742,1.26203,1.07432,1.06888,1.00107,1.02237,1.0336,1.00521,0.99305,1.18336,1.13193,1.09327,0.76726,0.69144,,,,,,,,,,,,,,,,,,,,,
Apr1952,-1.56642,-0.46973,0.0547,0.34982,0.31109,0.77423,1.16876,1.25137,1.19235,1.19119,1.15669,1.0898,0.99461,0.91242,0.99956,1.07468,0.90805,0.92736,0.85704,0.87758,0.89037,0.86422,0.8547,1.04362,0.98875,0.95408,0.64618,0.58141,,,,,,,,,,,,,,,,,,,,
May1952,0.76506,-0.68861,-0.22353,0.17512,0.45724,0.40931,0.85029,1.2332,1.31017,1.25137,1.24918,1.21508,1.14875,1.06187,0.97849,1.05498,1.1222,0.95908,0.97437,0.90432,0.92463,0.93625,0.91046,0.90076,1.08657,1.03217,0.99739,0.68845,0.62023,,,,,,,,,,,,,,,,,,,
Jun1952,0.41959,0.73174,-0.49517,-0.15989,0.19901,0.47568,0.42879,0.85718,1.23505,1.31208,1.25253,1.24928,1.21489,1.14898,1.06207,0.97856,1.05098,1.11858,0.95909,0.97493,0.90639,0.92552,0.93601,0.91021,0.90065,1.08501,1.03009,0.99558,0.68935,0.62175,,,,,,,,,,,,,,,,,,
Jul1952,0.26092,0.32319,0.67547,-0.3423,-0.10358,0.23673,0.5048,0.45512,0.86769,1.23426,1.30953,1.25054,1.24554,1.21181,1.14868,1.0641,0.97977,1.04906,1.11585,0.95834,0.97414,0.90648,0.92504,0.9348,0.90887,0.89923,1.08182,1.02738,0.99272,0.69096,0.62385,,,,,,,,,,,,,,,,,
Aug1952,-1.39516,-0.79047,-0.48812,0.01646,-0.77086,-0.39144,0.04119,0.3702,0.33965,0.76261,1.12899,1.20851,1.15,1.14511,1.11267,1.05347,0.96161,0.87631,0.94522,1.03195,0.8776,0.90079,0.83042,0.8488,0.85906,0.83375,0.82487,1.0062,0.95204,0.91966,0.62668,0.56559,,,,,,,,,,,,,,,,
Sep1952,-1.86955,-1.87568,-1.31563,-1.0673,-0.60098,-1.26226,-0.80634,-0.27186,0.14353,0.15339,0.61472,0.9947,1.08466,1.02493,1.02112,0.99005,0.93,0.82837,0.74,0.81705,0.92942,0.77183,0.80443,0.72996,0.74848,0.75949,0.73466,0.72703,0.91306,0.85713,0.82755,0.54192,0.48673,,,,,,,,,,,,,,,
Oct1952,-0.86384,-1.44737,-1.96123,-1.61404,-1.38886,-1.01367,-1.63654,-1.15514,-0.62374,-0.2036,-0.12539,0.32736,0.70458,0.8038,0.74758,0.74425,0.71761,0.66529,0.5597,0.47635,0.56975,0.71374,0.57221,0.62223,0.5478,0.56573,0.57826,0.55512,0.54987,0.72979,0.67725,0.65531,0.38825,0.3465,,,,,,,,,,,,,,
Nov1952,2.16572,1.60847,1.39535,1.24139,1.24014,1.22971,1.26175,0.9742,0.8854,0.94864,0.98733,0.91093,1.19907,1.50683,1.57857,1.53499,1.52666,1.49558,1.4258,1.38676,1.31127,1.31969,1.36125,1.21237,1.20488,1.13829,1.1596,1.16583,1.14192,1.13176,1.29443,1.25072,1.21651,0.92858,0.84639,,,,,,,,,,,,,
Dec1952,0.66245,2.0745,1.64461,1.41572,1.28046,1.29415,1.28922,1.34368,1.04548,0.97532,1.04929,1.02715,0.96065,1.22003,1.51046,1.57914,1.53405,1.52812,1.4975,1.43485,1.38598,1.31779,1.34621,1.37477,1.23821,1.23031,1.16737,1.18156,1.1906,1.16875,1.15897,1.30816,1.26789,1.24155,0.97393,0.89605,,,,,,,,,,,,
Jan1953,2.18572,2.14214,2.62369,2.27723,2.13775,2.06361,2.04847,2.01876,2.01191,1.88343,1.8232,1.86526,1.74545,1.68354,1.78084,2.01975,2.0652,2.03409,2.02784,1.99528,1.93826,1.94371,1.91476,1.89069,1.88887,1.7689,1.71433,1.67483,1.67957,1.68314,1.66668,1.65209,1.77185,1.74115,1.716,1.47396,1.37441,,,,,,,,,,,
Feb1953,-0.31016,1.91707,1.98833,2.59826,2.30238,2.11955,2.01318,1.99774,1.9744,1.97531,1.84912,1.78294,1.84429,1.69408,1.61164,1.7174,1.95931,2.03051,1.98887,1.97357,1.93537,1.88238,1.85774,1.79438,1.77659,1.78578,1.66703,1.61957,1.57818,1.58359,1.58664,1.56948,1.55394,1.67449,1.64903,1.62381,1.38148,1.28439,,,,,,,,,,
Mar1953,-0.02113,-0.26449,1.77854,1.79058,2.48294,2.23508,2.03619,1.9328,1.9243,1.90236,1.91331,1.80109,1.75386,1.85448,1.64874,1.58703,1.70664,1.95686,2.04589,1.99488,1.97625,1.9354,1.88248,1.84128,1.76216,1.73778,1.76534,1.64357,1.59852,1.55808,1.56222,1.56554,1.54792,1.53196,1.65662,1.63173,1.60634,1.35366,1.25278,,,,,,,,,
Apr1953,-1.08852,-0.46811,-0.5315,1.48087,1.46928,2.16892,1.94477,1.77053,1.67553,1.67424,1.65406,1.66352,1.54598,1.52819,1.63642,1.47452,1.43658,1.58124,1.81799,1.90475,1.85752,1.84357,1.80656,1.75643,1.70329,1.62436,1.59729,1.64691,1.52915,1.49382,1.45115,1.45617,1.46087,1.44339,1.43056,1.55464,1.53127,1.51227,1.26808,1.1734,,,,,,,,
May1953,1.53423,0.34275,0.18377,-0.13686,1.64182,1.63063,2.22976,2.05296,1.88784,1.79616,1.79318,1.77232,1.77512,1.68442,1.67059,1.75588,1.58216,1.55337,1.67695,1.90408,1.98765,1.941,1.92823,1.89434,1.84569,1.7976,1.71773,1.68397,1.72992,1.61433,1.57065,1.52468,1.52818,1.53228,1.51509,1.50152,1.62164,1.60045,1.5821,1.34135,1.24218,,,,,,,
Jun1953,1.55153,1.82234,0.87852,0.52929,0.11681,1.70588,1.70681,2.26077,2.1023,1.94679,1.85721,1.8512,1.82928,1.82795,1.74722,1.73654,1.80638,1.63126,1.60997,1.72697,1.95375,2.03174,1.98609,1.97284,1.94064,1.89168,1.84317,1.76574,1.72275,1.76553,1.65534,1.60895,1.5617,1.56629,1.56979,1.55283,1.53904,1.65696,1.63751,1.62187,1.38129,1.27996,,,,,,
Jul1953,-0.83813,0.63858,1.42863,0.61748,0.35189,0.01521,1.63001,1.6248,2.18322,2.02726,1.87992,1.79132,1.78702,1.76753,1.76944,1.68557,1.67629,1.73563,1.57693,1.55212,1.68108,1.90728,1.98363,1.93935,1.92661,1.89602,1.84729,1.79692,1.72014,1.68248,1.72855,1.61599,1.57515,1.52667,1.53097,1.53475,1.51778,1.5046,1.62342,1.60317,1.5886,1.34858,1.2489,,,,,
Aug1953,0.40205,-0.24003,0.62983,1.3201,0.62934,0.40289,0.0922,1.60318,1.60045,2.14194,1.99965,1.86125,1.77404,1.76948,1.75066,1.75354,1.66968,1.66361,1.70734,1.56518,1.54435,1.67457,1.89356,1.96737,1.92393,1.90995,1.87764,1.8329,1.78204,1.70924,1.67191,1.71331,1.602,1.56479,1.51644,1.52132,1.52536,1.50825,1.49538,1.61228,1.59022,1.5776,1.34017,1.24238,,,,
Sep1953,0.20015,0.22057,-0.19677,0.40442,1.07056,0.47986,0.29848,0.04086,1.59715,1.58725,2.15272,2.01584,1.86756,1.77689,1.773,1.75279,1.75707,1.66747,1.66965,1.73412,1.57244,1.54877,1.68253,1.90149,1.97752,1.9293,1.91233,1.87804,1.83342,1.77534,1.69852,1.6575,1.69508,1.58323,1.54853,1.49867,1.5048,1.50793,1.49144,1.47913,1.594,1.56999,1.55856,1.3231,1.22762,,,
Oct1953,0.60097,0.49597,0.54106,0.36927,0.61344,0.92893,0.61621,0.44048,0.17953,1.5347,1.51766,2.08085,1.96574,1.8466,1.7688,1.76015,1.74465,1.74426,1.66487,1.65494,1.64655,1.55174,1.51793,1.64955,1.84328,1.9191,1.87293,1.86152,1.83208,1.79689,1.73998,1.67116,1.64501,1.67752,1.54245,1.51663,1.47645,1.48946,1.49304,1.47565,1.46534,1.57851,1.54329,1.52506,1.30438,1.21347,,
Nov1953,0.81942,0.7883,0.73284,0.78381,0.66351,0.84121,1.07662,0.83016,0.6735,0.3846,1.6534,1.65891,2.18238,2.02216,1.91437,1.8434,1.83928,1.82635,1.81378,1.75238,1.74349,1.71522,1.6226,1.57576,1.69279,1.8867,1.96295,1.92047,1.91402,1.88895,1.84825,1.80914,1.74415,1.72881,1.74298,1.62321,1.58835,1.54223,1.55251,1.55458,1.53799,1.52875,1.63848,1.60441,1.58388,1.36594,1.27125,
Dec1953,0.92297,1.02341,1.03155,0.98522,1.01978,0.93818,1.0836,1.3012,1.06057,0.93048,0.67032,1.72881,1.74008,2.21417,2.0698,1.96589,1.89252,1.88944,1.87317,1.86646,1.79323,1.77899,1.78343,1.67349,1.62954,1.72952,1.91873,1.97259,1.93879,1.93085,1.90593,1.8626,1.82685,1.77618,1.77299,1.79493,1.67551,1.64501,1.59849,1.6079,1.61091,1.59608,1.58432,1.68425,1.65466,1.63863,1.43476,1.33262
Jan1954,0.61904,0.82195,0.96439,0.98597,0.94556,0.96617,0.91419,1.01394,1.1543,0.9804,0.89795,0.73283,1.55859,1.55822,1.96977,1.88552,1.79043,1.72824,1.72977,1.71693,1.7225,1.64759,1.64716,1.64811,1.59174,1.55888,1.67032,1.84888,1.8879,1.85411,1.85374,1.82851,1.78732,1.74643,1.70538,1.71503,1.73025,1.65422,1.63775,1.58827,1.5981,1.60043,1.58667,1.57672,1.67554,1.63899,1.62628,1.42609
Feb1954,0.01596,0.39803,0.6498,0.83939,0.88191,0.84027,0.8625,0.80803,0.91884,1.07296,0.89201,0.824,0.66939,1.54619,1.53303,1.96803,1.86266,1.77934,1.70785,1.7032,1.68675,1.69811,1.59993,1.57811,1.58043,1.531,1.50105,1.61337,1.7889,1.82814,1.79355,1.79212,1.76494,1.72626,1.69191,1.65049,1.65325,1.66224,1.58771,1.57498,1.52401,1.53198,1.53568,1.52052,1.51147,1.60681,1.57421,1.56229
Mar1954,0.58359,0.3071,0.50616,0.7271,0.87794,0.92361,0.87745,0.89219,0.83499,0.93878,1.09087,0.9187,0.8448,0.69395,1.58727,1.59682,2.057,1.9298,1.85146,1.77038,1.76229,1.74372,1.75856,1.64792,1.61464,1.60724,1.56701,1.53771,1.65043,1.8377,1.87621,1.83999,1.83943,1.81017,1.76769,1.73538,1.69247,1.69109,1.68976,1.61256,1.60079,1.54725,1.55676,1.56043,1.54521,1.53527,1.62923,1.59625
Apr1954,1.50921,1.2035,0.81581,0.85446,0.99345,1.0879,1.12354,1.07426,1.08599,1.03668,1.12095,1.244,1.10812,1.04998,0.91466,1.68521,1.7196,2.13446,2.01629,1.95136,1.87419,1.86647,1.8465,1.8589,1.74942,1.70733,1.67791,1.65226,1.61848,1.71196,1.89185,1.92886,1.89526,1.89424,1.86682,1.82744,1.80375,1.76829,1.76466,1.75196,1.67669,1.66575,1.60199,1.61231,1.61452,1.59972,1.59061,1.6809
May1954,1.71532,1.94463,1.61046,1.17609,1.12346,1.23186,1.28449,1.32429,1.26969,1.27708,1.22823,1.30244,1.41073,1.30029,1.24317,1.10625,1.80312,1.84932,2.22483,2.11247,2.05157,1.97628,1.96928,1.95161,1.96309,1.86178,1.81691,1.77947,1.75179,1.71889,1.79952,1.96941,2.00356,1.97009,1.96919,1.94141,1.90161,1.88106,1.84676,1.8426,1.82473,1.7511,1.73682,1.67051,1.68054,1.6817,1.66681,1.65711
Jun1954,-1.24258,1.13119,1.65097,1.43251,1.03973,1.01896,1.13936,1.20544,1.24991,1.2001,1.20669,1.15764,1.23316,1.34359,1.22517,1.16697,1.02739,1.73363,1.78155,2.17525,2.06295,1.99423,1.92041,1.91404,1.8992,1.91086,1.8054,1.76608,1.72802,1.70086,1.67339,1.761,1.92521,1.96174,1.92841,1.92733,1.90059,1.86121,1.83949,1.80899,1.80669,1.79238,1.72299,1.70803,1.63959,1.64955,1.6508,1.63566
Jul1954,-0.31226,-0.83736,0.84871,1.52916,1.34661,0.99106,0.98951,1.10625,1.17597,1.21945,1.17247,1.17806,1.12827,1.20282,1.31355,1.19551,1.13648,0.99715,1.69738,1.74073,2.14285,2.03304,1.96403,1.89165,1.88553,1.872,1.88359,1.77714,1.73777,1.70341,1.67928,1.6489,1.73992,1.90123,1.93673,1.90443,1.9033,1.87746,1.83999,1.81769,1.78868,1.78469,1.76814,1.69984,1.68685,1.61758,1.62682,1.62847
Aug1954,-0.01471,-0.1963,-0.60176,0.69754,1.37873,1.26147,0.95794,0.97117,1.08333,1.15706,1.20089,1.15612,1.16093,1.11147,1.18351,1.29287,1.17518,1.11704,0.9789,1.66571,1.71089,2.11467,2.00271,1.93336,1.86233,1.85508,1.83971,1.85414,1.7478,1.71205,1.67931,1.65252,1.62163,1.71531,1.87206,1.90808,1.87722,1.8755,1.85066,1.81421,1.78904,1.76284,1.75653,1.74118,1.67536,1.66562,1.59642,1.60497
Sep1954,-0.38221,-0.36566,-0.46081,-0.76618,0.35624,1.11496,1.09354,0.83896,0.88333,1.00725,1.10002,1.14169,1.09748,1.10373,1.0529,1.12944,1.24433,1.1188,1.06066,0.92155,1.64882,1.69232,2.1192,1.98952,1.91572,1.83913,1.82973,1.8134,1.82992,1.71427,1.6761,1.64229,1.61255,1.58141,1.68028,1.83519,1.87314,1.84039,1.83956,1.81571,1.77705,1.74876,1.72394,1.72108,1.71176,1.64365,1.63582,1.56842
Oct1954,0.97864,0.73786,0.70402,0.62007,0.40561,0.83549,1.21405,1.22766,1.00884,1.01547,1.11679,1.18979,1.23977,1.20145,1.21147,1.15826,1.23033,1.33601,1.23518,1.17828,1.0268,1.70995,1.73965,2.13552,1.99761,1.93456,1.86151,1.85606,1.8426,1.86585,1.7555,1.72163,1.69585,1.65983,1.60106,1.69675,1.85672,1.90542,1.874,1.87153,1.85031,1.8123,1.77032,1.73741,1.74049,1.72606,1.65241,1.63215
Nov1954,0.74473,1.00569,0.86227,0.85674,0.80073,0.63096,0.95828,1.31246,1.34485,1.16342,1.1269,1.2294,1.27317,1.31605,1.28089,1.29252,1.24469,1.31428,1.40952,1.32161,1.2646,1.10237,1.76064,1.76833,2.13252,2.01971,1.96451,1.8965,1.89573,1.88609,1.90096,1.81072,1.7802,1.76728,1.71396,1.67008,1.75579,1.90328,1.94601,1.91357,1.91155,1.89257,1.85587,1.81538,1.77991,1.77673,1.75792,1.69778
Dec1954,1.44541,1.36792,1.53424,1.40554,1.40536,1.37291,1.25552,1.49553,1.74696,1.77158,1.65123,1.44131,1.53058,1.5236,1.56251,1.53028,1.53774,1.49466,1.55162,1.62984,1.55764,1.51024,1.36793,1.92451,1.9283,2.23204,2.14729,2.07977,2.02284,2.0194,2.00774,2.01329,1.93562,1.91505,1.91005,1.86425,1.81197,1.88746,2.02554,2.0656,2.03615,2.0355,2.01186,1.97063,1.9374,1.90877,1.91465,1.87405
Jan1955,0.31894,0.98825,1.06377,1.22047,1.12801,1.11813,1.09894,1.00906,1.18153,1.36809,1.38522,1.30491,1.23122,1.30824,1.33268,1.37422,1.34235,1.34915,1.31404,1.36548,1.44402,1.36754,1.33394,1.21234,1.7622,1.77443,2.10244,2.01415,1.93535,1.87941,1.88395,1.8716,1.87747,1.79403,1.78196,1.79358,1.74629,1.73778,1.83331,1.96437,2.00465,1.97518,1.97593,1.95543,1.9163,1.87286,1.84729,1.8504
Feb1955,-1.25059,-0.55427,0.27973,0.50061,0.73915,0.64564,0.63972,0.62388,0.53491,0.75388,0.98527,1.04168,0.97168,0.92757,1.02193,1.08014,1.1105,1.08538,1.09271,1.05443,1.11229,1.20438,1.1014,1.06057,0.95052,1.53337,1.55119,1.90585,1.80768,1.72927,1.67295,1.67638,1.66408,1.67405,1.59278,1.58207,1.59185,1.54869,1.54199,1.6467,1.7675,1.80348,1.77764,1.77494,1.75685,1.72285,1.68321,1.65876
Mar1955,-0.9144,-1.39003,-0.85084,-0.05334,0.17648,0.41533,0.33302,0.32443,0.30696,0.22452,0.44791,0.67769,0.74754,0.68637,0.69789,0.81878,0.90318,0.93112,0.90678,0.91532,0.87538,0.93809,1.03788,0.92741,0.88733,0.78366,1.40472,1.43031,1.81832,1.71424,1.62999,1.57169,1.57556,1.56426,1.57514,1.4893,1.48008,1.4925,1.4497,1.44486,1.56168,1.68451,1.72314,1.69677,1.69436,1.67599,1.63923,1.59789
Apr1955,1.40667,0.22677,-0.69147,-0.40033,0.26705,0.43937,0.64938,0.56834,0.55947,0.54424,0.46794,0.6643,0.87044,0.93601,0.88002,0.85293,0.96367,1.03168,1.05793,1.03786,1.04506,1.00554,1.06369,1.15742,1.05102,1.00762,0.89854,1.48462,1.50267,1.85785,1.76299,1.68366,1.62869,1.63212,1.62155,1.63255,1.55567,1.55058,1.56052,1.50953,1.50332,1.61746,1.72365,1.76211,1.73528,1.73264,1.71575,1.68088
May1955,-1.06679,0.8243,-0.14513,-0.94095,-0.55775,0.15405,0.34509,0.55619,0.47713,0.46927,0.45369,0.37809,0.58004,0.78483,0.84933,0.78661,0.7832,0.89501,0.97302,0.99702,0.97555,0.9828,0.94464,1.00409,1.09847,0.99125,0.95111,0.8458,1.43425,1.45545,1.81741,1.71175,1.63212,1.57797,1.58115,1.57151,1.58306,1.50487,1.50067,1.51434,1.46837,1.46486,1.58116,1.68537,1.72287,1.69595,1.69301,1.67651
Jun1955,-0.38665,-1.11148,0.65969,-0.24418,-0.99151,-0.58709,0.12159,0.31311,0.5236,0.44533,0.43648,0.42114,0.34561,0.54728,0.74784,0.81021,0.74912,0.75318,0.86408,0.94546,0.97016,0.94729,0.95378,0.91585,0.97549,1.06979,0.96202,0.92283,0.82002,1.40467,1.42956,1.79485,1.68513,1.60757,1.55352,1.55663,1.54757,1.55921,1.48093,1.47896,1.4936,1.44992,1.44985,1.56556,1.66762,1.70503,1.67817,1.67495
Jul1955,-0.38079,-0.49332,-1.01892,0.51731,-0.30713,-1.01261,-0.60265,0.10747,0.2954,0.50333,0.42678,0.41774,0.39984,0.32496,0.52538,0.72136,0.7797,0.72058,0.73021,0.83887,0.92154,0.94584,0.92262,0.92865,0.89083,0.95017,1.04407,0.93693,0.89835,0.7994,1.38243,1.40544,1.77195,1.66135,1.584,1.53061,1.53362,1.525,1.53766,1.4594,1.45826,1.47199,1.428,1.42805,1.54428,1.64392,1.68023,1.65416
Aug1955,1.18077,0.54451,0.22167,-0.3393,0.74169,-0.02124,-0.77767,-0.43308,0.22286,0.39111,0.589,0.51176,0.50191,0.48267,0.40799,0.59985,0.78949,0.84283,0.78379,0.78239,0.88643,0.9621,0.98378,0.9618,0.96732,0.92964,0.98671,1.07801,0.97361,0.93419,0.83489,1.4019,1.42202,1.77962,1.67124,1.59641,1.54442,1.54693,1.53828,1.55054,1.47271,1.47294,1.48352,1.43846,1.43914,1.55374,1.6493,1.68429
Sep1955,0.34487,0.69475,0.39948,0.16879,-0.23563,0.63623,-0.07213,-0.77843,-0.44811,0.20517,0.38018,0.57171,0.49593,0.4866,0.46671,0.3928,0.58458,0.77834,0.833,0.77267,0.77177,0.87941,0.95602,0.97521,0.953,0.958,0.91964,0.97744,1.07067,0.964,0.92471,0.8273,1.39105,1.41014,1.76933,1.65925,1.58588,1.53292,1.53604,1.5279,1.53822,1.45911,1.46031,1.47217,1.42968,1.42866,1.54413,1.64199
Oct1955,1.32574,1.20672,1.30232,1.22843,1.13892,0.91788,1.23567,0.7667,0.05793,0.11805,0.59883,0.70898,0.88094,0.80218,0.79023,0.7667,0.69347,0.86243,1.06088,1.112,1.03292,0.99448,1.09139,1.14319,1.15387,1.13725,1.13985,1.10268,1.15483,1.24256,1.1431,1.10272,0.99949,1.52631,1.51601,1.8471,1.75698,1.6966,1.64528,1.64707,1.63984,1.64834,1.56294,1.55735,1.57006,1.51935,1.50981,1.60272
Nov1955,0.59285,1.21639,1.18105,1.28793,1.23394,1.15843,0.94927,1.26611,0.84132,0.14665,0.21306,0.66174,0.75952,0.93486,0.85897,0.84865,0.82821,0.75747,0.92071,1.11418,1.1603,1.07087,1.03446,1.1274,1.17683,1.1914,1.17623,1.17897,1.14444,1.19561,1.27853,1.1872,1.1484,1.04709,1.55979,1.56418,1.88582,1.78669,1.72381,1.67243,1.67447,1.66875,1.67732,1.59397,1.58585,1.59402,1.54123,1.54153
Dec1955,-0.00054,0.2271,0.90685,0.88868,1.0101,0.97229,0.89787,0.72175,1.01865,0.62333,0.01641,0.11164,0.52923,0.63853,0.80082,0.7299,0.72047,0.70465,0.64192,0.79837,0.96964,1.01817,0.95786,0.93605,1.03244,1.09136,1.10252,1.08174,1.08831,1.05674,1.10569,1.18385,1.09686,1.0673,0.97813,1.48335,1.49041,1.81687,1.71478,1.6526,1.60487,1.60775,1.60008,1.60602,1.52726,1.52317,1.54152,1.48806
