DATA,SPEI_1,SPEI_2,SPEI_3,SPEI_4,SPEI_5,SPEI_6,SPEI_7,SPEI_8,SPEI_9,SPEI_10,SPEI_11,SPEI_12,SPEI_13,SPEI_14,SPEI_15,SPEI_16,SPEI_17,SPEI_18,SPEI_19,SPEI_20,SPEI_21,SPEI_22,SPEI_23,SPEI_24,SPEI_25,SPEI_26,SPEI_27,SPEI_28,SPEI_29,SPEI_30,SPEI_31,SPEI_32,SPEI_33,SPEI_34,SPEI_35,SPEI_36,SPEI_37,SPEI_38,SPEI_39,SPEI_40,SPEI_41,SPEI_42,SPEI_43,SPEI_44,SPEI_45,SPEI_46,SPEI_47,SPEI_48
Jan1950,0.27282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1950,-1.43923,-0.88203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1950,-0.01816,-1.19296,-0.76345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1950,1.48985,0.97559,-0.14011,-0.11006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May1950,0.29196,1.27491,0.87922,-0.08005,-0.05665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun1950,-0.11455,0.09242,1.16255,0.82297,-0.13615,-0.12042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul1950,-0.73636,-0.57384,-0.29145,0.81629,0.5606,-0.30611,-0.256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug1950,0.00213,-0.36941,-0.37178,-0.20967,0.67565,0.48568,-0.28162,-0.24459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep1950,0.7289,0.38093,-0.0467,-0.1158,-0.04429,0.74147,0.56548,-0.19765,-0.17496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct1950,-0.45677,-0.26688,-0.25327,-0.42708,-0.46508,-0.40634,0.18456,0.13695,-0.46039,-0.39545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov1950,0.28774,-0.27755,-0.15007,-0.13545,-0.28694,-0.31897,-0.30466,0.18361,0.14253,-0.42392,-0.31637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec1950,-0.60431,-0.40887,-0.70853,-0.59173,-0.56845,-0.69094,-0.68323,-0.67046,-0.20819,-0.18829,-0.71003,-0.58303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan1951,-1.10842,-1.23807,-0.93963,-1.15468,-1.06372,-1.02682,-1.11596,-1.08625,-1.07644,-0.67084,-0.62217,-1.07068,-0.94623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1951,-1.1192,-1.5805,-1.78755,-1.43007,-1.68831,-1.60211,-1.5246,-1.59122,-1.5578,-1.51649,-1.10076,-1.03339,-1.44138,-1.32589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1951,0.61365,-0.43443,-1.05848,-1.28281,-1.04352,-1.31538,-1.22092,-1.17628,-1.24981,-1.21982,-1.19751,-0.82614,-0.7907,-1.19148,-1.08204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1951,-1.38731,-0.2521,-0.93686,-1.3444,-1.44827,-1.24308,-1.5182,-1.41386,-1.35452,-1.40955,-1.37046,-1.34009,-1.00467,-0.98054,-1.34517,-1.24329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May1951,0.01142,-1.00452,-0.2955,-0.90495,-1.33667,-1.43329,-1.23214,-1.54647,-1.44208,-1.37092,-1.41278,-1.36856,-1.34413,-1.02352,-1.00626,-1.35067,-1.24743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun1951,-0.29097,-0.23473,-1.07606,-0.38883,-0.97104,-1.3668,-1.46743,-1.27312,-1.59998,-1.48557,-1.4044,-1.43272,-1.38411,-1.36315,-1.06107,-1.0406,-1.36457,-1.26719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul1951,0.09638,-0.16676,-0.17213,-0.87567,-0.36084,-0.88003,-1.27466,-1.39956,-1.213,-1.49488,-1.38998,-1.32173,-1.34414,-1.30259,-1.28779,-1.01376,-0.99967,-1.31293,-1.21649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug1951,-0.37449,-0.14634,-0.264,-0.25958,-0.81337,-0.39985,-0.86205,-1.22832,-1.36006,-1.19789,-1.45168,-1.34753,-1.28327,-1.299,-1.26228,-1.25116,-0.99712,-0.98872,-1.29251,-1.20265,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep1951,0.39766,-0.09318,-0.06364,-0.18252,-0.22427,-0.75586,-0.37354,-0.83447,-1.19243,-1.30649,-1.15921,-1.35542,-1.27088,-1.22067,-1.24335,-1.21485,-1.20492,-0.96691,-0.95749,-1.26097,-1.17325,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct1951,1.26793,1.23159,1.08564,1.04932,0.92758,0.83945,0.37913,0.51842,0.04619,-0.43976,-0.69254,-0.55728,-0.73008,-0.67301,-0.66738,-0.72758,-0.72617,-0.72791,-0.48944,-0.48238,-0.81582,-0.71379,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov1951,1.12358,1.45165,1.47251,1.36773,1.35145,1.263,1.21323,0.88977,0.94721,0.52492,0.08306,-0.21092,-0.13723,-0.29729,-0.26266,-0.27875,-0.35637,-0.36683,-0.36265,-0.11179,-0.10425,-0.44375,-0.37071,,,,,,,,,,,,,,,,,,,,,,,,,
Dec1951,-0.25303,0.55052,1.14066,1.1719,1.08875,1.09034,1.00379,0.95951,0.64361,0.75961,0.33799,-0.06454,-0.34202,-0.24671,-0.43382,-0.39379,-0.40596,-0.48071,-0.48709,-0.47984,-0.23647,-0.23684,-0.56955,-0.50066,,,,,,,,,,,,,,,,,,,,,,,,
Jan1952,-1.12267,-1.00942,-0.12513,0.59144,0.60722,0.52346,0.52945,0.45855,0.41887,0.11234,0.26628,-0.10694,-0.47104,-0.71065,-0.59896,-0.76676,-0.71457,-0.71479,-0.77307,-0.77082,-0.77011,-0.54648,-0.53707,-0.84779,-0.79892,,,,,,,,,,,,,,,,,,,,,,,
Feb1952,-0.03961,-0.8481,-0.95218,-0.16129,0.55727,0.57662,0.49763,0.49732,0.44712,0.4024,0.09445,0.24717,-0.1529,-0.50833,-0.74548,-0.63816,-0.83515,-0.77976,-0.77684,-0.8334,-0.83186,-0.82765,-0.59999,-0.59685,-0.9071,-0.85878,,,,,,,,,,,,,,,,,,,,,,
Mar1952,-0.01045,0.04669,-0.73101,-0.85224,-0.15216,0.52569,0.53084,0.45678,0.45676,0.40107,0.35563,0.07442,0.21563,-0.17969,-0.49726,-0.71705,-0.60634,-0.77381,-0.73086,-0.72971,-0.78467,-0.78603,-0.77945,-0.5721,-0.57246,-0.86019,-0.81449,,,,,,,,,,,,,,,,,,,,,
Apr1952,-1.72707,-0.82927,-0.60227,-1.14004,-1.15166,-0.47871,0.21274,0.21712,0.14999,0.15133,0.10597,0.06086,-0.20739,-0.0538,-0.42552,-0.7079,-0.91321,-0.81338,-0.96215,-0.91474,-0.90705,-0.95152,-0.94709,-0.94035,-0.74232,-0.73804,-1.00371,-0.96443,,,,,,,,,,,,,,,,,,,,
May1952,-0.07993,-1.23174,-0.81269,-0.63094,-1.15567,-1.15011,-0.50503,0.1798,0.1881,0.11571,0.11072,0.05914,0.01353,-0.2619,-0.11634,-0.46209,-0.73654,-0.94076,-0.84383,-0.97244,-0.92754,-0.91823,-0.96152,-0.95855,-0.95051,-0.75872,-0.75505,-1.01518,-0.9806,,,,,,,,,,,,,,,,,,,
Jun1952,0.08543,-0.11467,-1.15336,-0.81122,-0.62972,-1.14656,-1.15689,-0.52449,0.16647,0.17133,0.09482,0.08607,0.03319,-0.01085,-0.2824,-0.14264,-0.48147,-0.74868,-0.95419,-0.85435,-0.98541,-0.9407,-0.92936,-0.96999,-0.9677,-0.95966,-0.76975,-0.76489,-1.0206,-0.98129,,,,,,,,,,,,,,,,,,
Jul1952,0.14084,0.06329,-0.06514,-0.92483,-0.73046,-0.56847,-1.06667,-1.10245,-0.50438,0.15735,0.15972,0.08663,0.07386,0.02427,-0.01771,-0.27731,-0.14923,-0.46881,-0.72322,-0.9204,-0.82475,-0.9582,-0.91626,-0.90512,-0.94368,-0.94269,-0.93399,-0.74986,-0.74643,-0.99477,-0.95554,,,,,,,,,,,,,,,,,
Aug1952,-1.43461,-0.83454,-0.66187,-0.6297,-1.19652,-0.97239,-0.84241,-1.21906,-1.24012,-0.67624,-0.04987,-0.04707,-0.11057,-0.11927,-0.158,-0.20012,-0.44431,-0.32117,-0.60495,-0.84027,-1.02222,-0.92935,-1.04472,-1.00457,-0.98862,-1.02,-1.01692,-1.00826,-0.83583,-0.83226,-1.06438,-1.02796,,,,,,,,,,,,,,,,
Sep1952,-0.71931,-1.38961,-1.00277,-0.86829,-0.85605,-1.30275,-1.08864,-1.00755,-1.31831,-1.30717,-0.77819,-0.18709,-0.17976,-0.23677,-0.24064,-0.2718,-0.31154,-0.54454,-0.41607,-0.69461,-0.9105,-1.07756,-0.98564,-1.09166,-1.05241,-1.03441,-1.06261,-1.05824,-1.05082,-0.88488,-0.87949,-1.10165,-1.06746,,,,,,,,,,,,,,,
Oct1952,-0.82541,-1.05821,-1.4117,-1.25086,-1.15764,-1.15984,-1.48966,-1.25172,-1.23244,-1.49864,-1.45052,-0.96607,-0.44981,-0.44816,-0.49265,-0.4889,-0.51063,-0.54557,-0.7572,-0.62849,-0.87673,-1.06425,-1.20974,-1.11806,-1.20913,-1.17393,-1.15258,-1.17457,-1.165,-1.15833,-1.00266,-0.99715,-1.20815,-1.17995,,,,,,,,,,,,,,
Nov1952,1.45577,0.6796,0.51559,0.17986,0.1743,0.14451,0.05616,-0.37864,-0.34004,-0.36546,-0.71384,-0.81128,-0.32618,0.16333,0.14662,0.08388,0.06838,0.03069,0.00411,-0.19213,-0.0636,-0.32641,-0.55531,-0.75619,-0.67714,-0.81577,-0.78169,-0.77599,-0.81445,-0.81653,-0.80843,-0.64671,-0.65024,-0.88421,-0.84797,,,,,,,,,,,,,
Dec1952,0.15432,1.11691,0.55755,0.43478,0.12862,0.14038,0.12417,0.03193,-0.38719,-0.34714,-0.35285,-0.70434,-0.79927,-0.3119,0.14503,0.12779,0.0625,0.04451,0.00769,-0.01307,-0.20596,-0.08951,-0.35271,-0.57999,-0.79097,-0.70699,-0.84794,-0.81698,-0.80973,-0.84789,-0.84698,-0.84112,-0.67596,-0.69063,-0.92655,-0.87931,,,,,,,,,,,,
Jan1953,2.18139,1.79905,2.09976,1.67236,1.60041,1.43887,1.45047,1.41098,1.38602,1.11587,1.02951,0.96319,0.56067,0.32925,0.64331,0.96677,0.9596,0.91208,0.90203,0.85404,0.84192,0.67882,0.76812,0.51093,0.26273,0.0276,0.07724,-0.10014,-0.06364,-0.08196,-0.13955,-0.15764,-0.14876,0.02015,-0.00162,-0.27296,-0.22271,,,,,,,,,,,
Feb1953,-0.7039,1.75349,1.44586,1.84325,1.46455,1.38933,1.21776,1.22859,1.1946,1.1508,0.87722,0.81885,0.74628,0.36159,0.13793,0.49788,0.84849,0.84169,0.78968,0.77487,0.72763,0.70959,0.52784,0.62527,0.35518,0.10773,-0.13354,-0.07854,-0.2531,-0.21351,-0.22903,-0.28827,-0.3043,-0.29709,-0.12427,-0.13915,-0.42128,-0.36947,,,,,,,,,,
Mar1953,1.31599,0.41802,1.96293,1.68867,1.95491,1.60447,1.54615,1.40228,1.4123,1.37833,1.35106,1.11272,1.05679,0.98727,0.60368,0.38626,0.69259,0.99109,0.98938,0.94573,0.9353,0.88943,0.86965,0.71001,0.79452,0.54734,0.3114,0.07652,0.11662,-0.04687,-0.01593,-0.03528,-0.09602,-0.11742,-0.11052,0.05807,0.04558,-0.23128,-0.1769,,,,,,,,,
Apr1953,-0.86712,0.52773,0.02296,1.7008,1.45989,1.76554,1.43174,1.36072,1.20686,1.20986,1.17819,1.14255,0.91258,0.88304,0.81322,0.46706,0.25627,0.57956,0.87238,0.86907,0.82332,0.81051,0.76654,0.74464,0.58373,0.66284,0.42591,0.19861,-0.03078,0.0122,-0.14362,-0.11725,-0.13355,-0.19128,-0.20878,-0.20066,-0.03756,-0.05247,-0.32185,-0.26572,,,,,,,,
May1953,1.23092,0.23712,0.94884,0.44343,1.82157,1.56889,1.85561,1.54264,1.4776,1.33956,1.34142,1.31213,1.28598,1.07557,1.0484,0.97611,0.62374,0.42068,0.70895,0.97239,0.97208,0.92692,0.9158,0.87232,0.85187,0.69786,0.77521,0.54326,0.31504,0.09177,0.12417,-0.02793,-0.00197,-0.02187,-0.08013,-0.09916,-0.08801,0.07484,0.06208,-0.20946,-0.15747,,,,,,,
Jun1953,0.73704,1.31374,0.4531,1.0932,0.54316,1.92514,1.65914,1.93484,1.60062,1.53428,1.3951,1.39638,1.36456,1.34037,1.13061,1.10061,1.02488,0.6599,0.45666,0.74483,1.01273,1.01315,0.96586,0.95399,0.9102,0.89092,0.73241,0.81158,0.57485,0.34169,0.11982,0.15295,-4e-05,0.02681,0.00503,-0.05453,-0.07326,-0.06366,0.09942,0.08532,-0.18348,-0.13169,,,,,,
Jul1953,-0.65517,-0.03558,0.83222,0.15775,0.8543,0.37062,1.8449,1.5854,1.88678,1.5459,1.47375,1.32209,1.31809,1.28157,1.25571,1.03761,1.00756,0.9393,0.5762,0.37947,0.67331,0.95262,0.95236,0.90179,0.88705,0.84272,0.82284,0.66055,0.74115,0.50732,0.27584,0.05642,0.09247,-0.05734,-0.0299,-0.04942,-0.10724,-0.12482,-0.11468,0.04529,0.02984,-0.22849,-0.17626,,,,,
Aug1953,0.21538,-0.19536,0.10068,0.74119,0.19749,0.79119,0.36592,1.77865,1.55462,1.83967,1.51469,1.44039,1.28746,1.27796,1.24133,1.21789,1.00416,0.97905,0.92084,0.57643,0.38291,0.66195,0.93286,0.93409,0.88247,0.86786,0.82481,0.8044,0.64603,0.72413,0.49893,0.27352,0.05855,0.0924,-0.0545,-0.02658,-0.046,-0.10206,-0.11856,-0.10788,0.04732,0.03255,-0.21781,-0.16789,,,,
Sep1953,-0.12735,-0.05264,-0.3381,-0.08368,0.51698,0.00529,0.64383,0.25674,1.76226,1.51451,1.82288,1.47786,1.39868,1.23781,1.22945,1.19303,1.16595,0.94108,0.91633,0.86938,0.52677,0.32996,0.61792,0.89115,0.89197,0.83947,0.82493,0.78189,0.76176,0.60346,0.68133,0.45937,0.23736,0.03007,0.06654,-0.07681,-0.05023,-0.06766,-0.12223,-0.13746,-0.12673,0.02602,0.01035,-0.23439,-0.18766,,,
Oct1953,0.54173,0.35962,0.36803,0.18598,0.27122,0.62161,0.27376,0.69245,0.38385,1.61868,1.4463,1.67224,1.41082,1.34551,1.20852,1.20233,1.17256,1.15775,0.96238,0.94373,0.89971,0.59316,0.41864,0.66629,0.91371,0.91765,0.87081,0.85847,0.81876,0.80108,0.65931,0.73185,0.52667,0.30801,0.09616,0.12769,0.0035,0.02838,0.00737,-0.04551,-0.06017,-0.04863,0.09849,0.08749,-0.15515,-0.11635,,
Nov1953,1.68219,1.50046,1.45914,1.42498,1.32719,1.34806,1.54689,1.33681,1.52525,1.27238,2.01594,1.87866,1.96847,1.74278,1.71272,1.62587,1.63897,1.60875,1.60062,1.44845,1.42473,1.37769,1.09187,0.94629,1.10697,1.32521,1.33307,1.29712,1.29028,1.25555,1.23843,1.12376,1.18951,0.99671,0.77013,0.57419,0.57376,0.4596,0.48774,0.45985,0.40386,0.38233,0.39103,0.53945,0.53624,0.30077,0.32189,
Dec1953,-0.46929,1.1071,1.11867,1.08415,1.07525,0.98835,1.01466,1.22541,1.02048,1.27848,1.0015,1.80406,1.66639,1.79417,1.61393,1.57142,1.47199,1.4836,1.45464,1.44038,1.28428,1.26416,1.22489,0.95127,0.8139,1.00261,1.22967,1.24011,1.19937,1.19295,1.15436,1.14091,1.0148,1.0912,0.88978,0.65979,0.46332,0.47396,0.36387,0.39075,0.36391,0.30724,0.28546,0.29202,0.44373,0.43836,0.20998,0.23331
Jan1954,1.32515,0.62907,1.49221,1.45351,1.41793,1.4225,1.3617,1.37999,1.56325,1.41386,1.59013,1.3433,1.98831,1.89029,1.96014,1.76144,1.72357,1.64555,1.65696,1.63175,1.62235,1.49837,1.46646,1.43484,1.17993,1.05759,1.19743,1.40924,1.41073,1.37928,1.37766,1.34423,1.3308,1.22659,1.29766,1.11682,0.88069,0.70449,0.6911,0.58662,0.614,0.58451,0.52695,0.50186,0.50501,0.65495,0.65467,0.4304
Feb1954,0.97485,1.50071,0.98419,1.67701,1.63561,1.60769,1.61804,1.57582,1.58096,1.72055,1.61616,1.78622,1.56059,2.11655,2.00618,2.0493,1.89533,1.86912,1.80482,1.8209,1.80367,1.79095,1.69161,1.66597,1.62706,1.36275,1.24475,1.3569,1.56345,1.56362,1.53575,1.53972,1.50881,1.50046,1.41452,1.49452,1.31339,1.06013,0.896,0.86724,0.76385,0.79039,0.76234,0.70338,0.67564,0.68113,0.83791,0.84248
Mar1954,-0.00604,0.85303,1.37226,0.88899,1.55501,1.54296,1.51933,1.52503,1.47753,1.49091,1.64182,1.52152,1.70087,1.51533,2.1076,1.99538,2.01931,1.85181,1.82929,1.75488,1.77064,1.75472,1.73774,1.62753,1.60739,1.5723,1.31171,1.20106,1.32004,1.53146,1.53904,1.51184,1.51664,1.48578,1.47839,1.38988,1.47101,1.2825,1.02522,0.85871,0.83178,0.72847,0.75614,0.7296,0.67252,0.64634,0.6525,0.80576
Apr1954,0.99772,0.53444,1.05508,1.47698,1.01497,1.61344,1.58179,1.55452,1.55485,1.50863,1.51822,1.65084,1.55399,1.73511,1.57194,2.07707,2.00829,2.04195,1.88243,1.86109,1.79367,1.80958,1.79514,1.78196,1.6799,1.65712,1.61501,1.3628,1.26082,1.36536,1.57211,1.58425,1.5576,1.56164,1.53137,1.52556,1.44534,1.52876,1.35259,1.09698,0.93297,0.89602,0.79488,0.82562,0.79987,0.74617,0.72094,0.72632
May1954,0.2557,0.77301,0.47571,1.01095,1.4335,0.99203,1.58265,1.57173,1.54196,1.54381,1.49796,1.51337,1.65216,1.56799,1.77237,1.57256,2.07935,2.00533,2.05393,1.8815,1.85942,1.79067,1.81013,1.80078,1.78086,1.67267,1.65083,1.61552,1.36361,1.25223,1.36091,1.57767,1.58927,1.56437,1.56782,1.53667,1.53116,1.45122,1.54291,1.36618,1.11033,0.94489,0.9016,0.79657,0.82902,0.80329,0.74972,0.72445
Jun1954,-1.0274,-0.39808,0.38164,0.20484,0.83501,1.33057,0.87828,1.52983,1.53066,1.49664,1.49665,1.44418,1.45923,1.60772,1.51403,1.73777,1.52014,2.08064,2.01033,2.04993,1.87832,1.85295,1.77716,1.79443,1.7858,1.76006,1.64196,1.61625,1.58261,1.3151,1.20006,1.31703,1.54242,1.55286,1.52416,1.52675,1.49409,1.48549,1.39707,1.49425,1.30948,1.05439,0.88722,0.84965,0.74073,0.77298,0.74701,0.69234
Jul1954,-0.158,-0.68115,-0.39702,0.26193,0.12012,0.75572,1.27603,0.83296,1.49959,1.50557,1.46899,1.46553,1.40706,1.41891,1.57374,1.47806,1.71935,1.49103,2.07828,1.99507,2.05011,1.88703,1.85692,1.77247,1.78715,1.77693,1.74779,1.61717,1.59284,1.56257,1.29132,1.17425,1.29441,1.52647,1.5354,1.50342,1.50487,1.47084,1.46138,1.36907,1.46972,1.28149,1.02501,0.85736,0.81983,0.70888,0.74065,0.71485
Aug1954,-0.00705,-0.05582,-0.45306,-0.29543,0.21504,0.10324,0.67976,1.19273,0.78184,1.4433,1.4585,1.41869,1.4109,1.34676,1.35728,1.51227,1.41505,1.65691,1.43058,2.01715,1.95151,2.02612,1.86649,1.83041,1.74025,1.74964,1.73939,1.70973,1.57538,1.55418,1.52571,1.25676,1.13878,1.26495,1.50197,1.51007,1.47618,1.47485,1.43946,1.42736,1.33367,1.433,1.24703,0.99419,0.83169,0.79612,0.68574,0.718
Sep1954,-0.57847,-0.41842,-0.40273,-0.6687,-0.54704,-0.08524,-0.10631,0.51044,1.07907,0.65232,1.36842,1.387,1.3443,1.33728,1.26884,1.28224,1.44334,1.33538,1.57716,1.36672,1.98278,1.91901,1.99594,1.83443,1.7945,1.69556,1.70228,1.68983,1.66225,1.51951,1.49586,1.46388,1.19774,1.07888,1.20878,1.43758,1.44604,1.41076,1.40879,1.37238,1.36066,1.26261,1.35763,1.17516,0.93292,0.77051,0.73956,0.63275
Oct1954,2.12,2.06722,2.01687,1.9813,1.84615,1.79326,1.91983,1.68687,1.83205,2.1021,1.77832,2.00657,1.94112,1.94371,1.96646,1.95043,1.96388,2.10298,2.0795,2.21955,2.05077,2.33703,2.34811,2.31736,2.2356,2.22191,2.16447,2.18835,2.17561,2.14723,2.055,2.03989,2.00204,1.75563,1.71037,1.74001,1.9278,1.94567,1.93454,1.93691,1.90136,1.88532,1.84074,1.93653,1.78813,1.52161,1.41755,1.31859
