DATA,SPEI_1,SPEI_2,SPEI_3,SPEI_4,SPEI_5,SPEI_6,SPEI_7,SPEI_8,SPEI_9,SPEI_10,SPEI_11,SPEI_12,SPEI_13,SPEI_14,SPEI_15,SPEI_16,SPEI_17,SPEI_18,SPEI_19,SPEI_20,SPEI_21,SPEI_22,SPEI_23,SPEI_24,SPEI_25,SPEI_26,SPEI_27,SPEI_28,SPEI_29,SPEI_30,SPEI_31,SPEI_32,SPEI_33,SPEI_34,SPEI_35,SPEI_36,SPEI_37,SPEI_38,SPEI_39,SPEI_40,SPEI_41,SPEI_42,SPEI_43,SPEI_44,SPEI_45,SPEI_46,SPEI_47,SPEI_48
Jan1950,-0.46794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1950,-1.31736,-1.24549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1950,1.57926,0.41471,-0.07453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1950,-0.20177,1.16066,0.24161,-0.18402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May1950,0.44903,0.02132,1.15334,0.30246,-0.10684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun1950,-0.43017,0.06267,-0.16757,1.05145,0.21263,-0.19131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul1950,-1.16568,-1.07965,-0.51827,-0.56451,0.70204,-0.06226,-0.42372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug1950,-0.70264,-1.06155,-1.08852,-0.7756,-0.7157,0.42846,-0.23911,-0.53424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep1950,0.25684,-0.36427,-0.75926,-0.88928,-0.72605,-0.68296,0.42896,-0.22747,-0.52929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct1950,-0.92439,-0.70301,-0.94008,-1.16189,-1.18896,-1.0246,-1.00416,-0.14029,-0.67654,-0.83357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov1950,-1.41379,-1.85528,-1.61788,-1.8076,-1.91585,-1.89824,-1.64873,-1.58358,-0.77583,-1.22298,-1.2863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec1950,1.13474,0.02768,-0.69501,-0.5917,-0.76023,-1.02647,-1.13527,-1.00504,-1.00125,-0.15239,-0.69645,-0.85512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan1951,1.68943,1.65782,0.89886,0.39673,0.44514,0.22554,-0.01425,-0.0745,-0.04107,-0.15449,0.57856,0.06958,-0.13475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1951,-0.95041,0.72427,1.17823,0.46752,-0.06992,0.01063,-0.17867,-0.41978,-0.49425,-0.44317,-0.50784,0.24864,-0.25954,-0.46435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1951,0.04136,-0.73087,0.48194,1.01053,0.33614,-0.12182,-0.05956,-0.20114,-0.39654,-0.46032,-0.4237,-0.47111,0.21656,-0.25922,-0.44314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1951,-1.79618,-0.97887,-1.31605,-0.1647,0.42875,-0.13384,-0.55808,-0.50398,-0.59666,-0.74958,-0.80404,-0.75799,-0.78643,-0.16656,-0.59918,-0.73929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May1951,-0.62262,-1.59955,-1.22748,-1.48716,-0.38265,0.24412,-0.29242,-0.70402,-0.65528,-0.74345,-0.89533,-0.95039,-0.8916,-0.91521,-0.3168,-0.75415,-0.88207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun1951,0.36449,-0.3416,-1.40644,-1.15296,-1.43157,-0.31679,0.28916,-0.27018,-0.67731,-0.63542,-0.72627,-0.8735,-0.92882,-0.86672,-0.8941,-0.29556,-0.73089,-0.86638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul1951,-0.26156,-0.07442,-0.47025,-1.35461,-1.13017,-1.42075,-0.38826,0.19054,-0.33517,-0.73124,-0.69266,-0.76822,-0.89609,-0.94769,-0.88919,-0.91056,-0.34013,-0.74408,-0.87963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug1951,0.11202,-0.12019,-0.08483,-0.40209,-1.03377,-0.95987,-1.28679,-0.34043,0.18192,-0.31612,-0.70235,-0.67209,-0.74279,-0.86073,-0.90903,-0.85601,-0.87672,-0.3477,-0.71922,-0.85227,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep1951,0.32291,0.17527,-0.03444,-0.02309,-0.33747,-0.94769,-0.86212,-1.23779,-0.31957,0.23402,-0.24488,-0.66252,-0.6307,-0.70541,-0.83139,-0.8856,-0.83685,-0.85702,-0.32048,-0.70935,-0.8439,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct1951,0.48952,0.42296,0.39067,0.23653,0.23153,-0.03258,-0.51818,-0.52805,-0.89159,-0.126,0.30508,-0.12377,-0.48872,-0.46338,-0.55042,-0.67567,-0.73139,-0.69292,-0.74164,-0.25848,-0.60773,-0.74974,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov1951,0.59364,0.65393,0.65578,0.626,0.49104,0.50226,0.24345,-0.25496,-0.2491,-0.63414,0.04868,0.46131,0.02125,-0.32716,-0.31718,-0.40552,-0.54373,-0.5962,-0.55678,-0.59978,-0.12199,-0.47964,-0.61436,,,,,,,,,,,,,,,,,,,,,,,,,
Dec1951,-0.24538,0.13596,0.31122,0.39411,0.38518,0.2706,0.32408,0.05654,-0.45858,-0.45634,-0.83147,-0.09053,0.34345,-0.07555,-0.42634,-0.40601,-0.49686,-0.63617,-0.69146,-0.65263,-0.68755,-0.22053,-0.581,-0.71601,,,,,,,,,,,,,,,,,,,,,,,,
