DATA,SPEI_1,SPEI_2,SPEI_3,SPEI_4,SPEI_5,SPEI_6,SPEI_7,SPEI_8,SPEI_9,SPEI_10,SPEI_11,SPEI_12,SPEI_13,SPEI_14,SPEI_15,SPEI_16,SPEI_17,SPEI_18,SPEI_19,SPEI_20,SPEI_21,SPEI_22,SPEI_23,SPEI_24,SPEI_25,SPEI_26,SPEI_27,SPEI_28,SPEI_29,SPEI_30,SPEI_31,SPEI_32,SPEI_33,SPEI_34,SPEI_35,SPEI_36,SPEI_37,SPEI_38,SPEI_39,SPEI_40,SPEI_41,SPEI_42,SPEI_43,SPEI_44,SPEI_45,SPEI_46,SPEI_47,SPEI_48
Jan1950,0.67099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1950,-0.51222,0.12891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1950,0.98842,0.30302,0.52092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1950,-0.44333,0.47843,0.02766,0.23841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May1950,1.07247,0.45107,0.86746,0.50129,0.57182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun1950,0.32174,0.87618,0.40809,0.80574,0.4893,0.59391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul1950,-1.52016,-0.92996,0.05519,-0.2151,0.33618,0.06806,0.20358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug1950,-0.77317,-1.40949,-1.0697,-0.31639,-0.44132,0.0625,-0.1078,0.01214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep1950,0.35693,-0.28345,-0.85018,-0.7558,-0.19057,-0.33501,0.09757,-0.10207,0.03327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct1950,-0.10542,-0.03564,-0.3855,-0.75753,-0.71069,-0.33332,-0.43086,-0.09418,-0.26205,-0.10317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov1950,-0.93159,-0.7572,-0.60941,-0.86357,-1.17162,-1.14026,-0.7269,-0.80257,-0.43703,-0.58033,-0.38945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec1950,0.46782,-0.30919,-0.395,-0.29483,-0.56632,-0.94102,-0.90919,-0.51889,-0.62705,-0.2838,-0.43976,-0.29574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan1951,1.51188,1.19944,0.83036,0.6707,0.65635,0.47277,0.15303,0.1782,0.39658,0.23351,0.47782,0.27708,0.37328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1951,0.12436,1.39974,1.11605,0.77392,0.61686,0.58785,0.4383,0.1542,0.1697,0.36449,0.2278,0.44201,0.26043,0.33944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1951,0.58731,0.4546,1.3506,1.11699,0.8146,0.66362,0.63293,0.48862,0.22703,0.24426,0.43507,0.29569,0.49964,0.32386,0.39495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1951,-0.31043,0.22082,0.21398,1.10914,0.95499,0.66383,0.5291,0.49101,0.34808,0.09714,0.12323,0.31122,0.16217,0.37708,0.21898,0.295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May1951,-0.60555,-0.70468,-0.14399,-0.02634,0.79484,0.75617,0.48545,0.37704,0.3503,0.22049,-0.02207,-0.00804,0.17339,0.02699,0.22609,0.07298,0.18021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun1951,-0.21299,-0.69231,-0.82318,-0.34167,-0.17369,0.70256,0.71143,0.40329,0.30135,0.2841,0.15495,-0.09285,-0.07345,0.11437,-0.0265,0.17405,0.01004,0.1165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul1951,0.57564,0.13229,-0.38218,-0.50927,-0.12908,-0.02685,0.79304,0.77295,0.45659,0.35593,0.33285,0.20733,-0.03077,-0.00299,0.18593,0.04498,0.24473,0.09303,0.18421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug1951,-0.41561,0.04834,-0.18526,-0.52532,-0.56146,-0.25113,-0.10773,0.61365,0.63732,0.34442,0.24513,0.22209,0.10646,-0.1235,-0.09045,0.09907,-0.03638,0.15572,0.01903,0.11192,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep1951,0.28592,-0.16778,0.10487,-0.11491,-0.4173,-0.4826,-0.22606,-0.13283,0.59859,0.60871,0.32935,0.20358,0.17193,0.0574,-0.17493,-0.15606,0.05189,-0.07356,0.12942,-0.00431,0.09763,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct1951,1.72875,1.50207,1.35775,1.33297,1.22443,1.03545,0.83902,0.94042,0.88948,1.38606,1.26017,1.05762,0.94123,0.93236,0.8227,0.63081,0.65028,0.81856,0.71635,0.88842,0.76663,0.80444,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov1951,0.31247,1.70363,1.55615,1.40127,1.37419,1.29576,1.11398,0.93354,1.01996,0.96341,1.45294,1.34464,1.13295,1.0232,1.0245,0.9136,0.72294,0.73358,0.89269,0.78007,0.94632,0.81668,0.85741,,,,,,,,,,,,,,,,,,,,,,,,,
Dec1951,0.28755,0.29222,1.51529,1.40115,1.27471,1.29409,1.22633,1.07959,0.91126,1.01145,0.97205,1.43668,1.30287,1.09781,0.98721,0.99514,0.88732,0.7008,0.7219,0.87501,0.76168,0.92196,0.7855,0.83833,,,,,,,,,,,,,,,,,,,,,,,,
Jan1952,0.30563,0.32718,0.34855,1.33597,1.26465,1.1834,1.21268,1.16275,1.00805,0.87077,0.95555,0.90847,1.30993,1.21464,1.03699,0.93636,0.93526,0.8454,0.68571,0.70099,0.83219,0.73652,0.87894,0.7576,0.79847,,,,,,,,,,,,,,,,,,,,,,,
Feb1952,0.33624,0.33327,0.34173,0.39932,1.34299,1.25606,1.17442,1.21328,1.16227,1.00743,0.89217,0.9492,0.91424,1.29868,1.20436,1.04547,0.95273,0.95803,0.86735,0.70132,0.71342,0.85707,0.75907,0.91424,0.79511,0.83333,,,,,,,,,,,,,,,,,,,,,,
Mar1952,-0.34821,0.02589,0.07086,0.13497,0.19245,1.17607,1.11178,1.02717,1.06933,1.01509,0.86778,0.75358,0.82542,0.79772,1.20138,1.11774,0.95204,0.85087,0.85228,0.76158,0.59713,0.60774,0.75217,0.6625,0.8074,0.6991,0.7363,,,,,,,,,,,,,,,,,,,,,
Apr1952,-1.29588,-1.15604,-0.57193,-0.43605,-0.26117,-0.16418,0.9091,0.8461,0.75319,0.80466,0.75395,0.59102,0.46802,0.56421,0.55083,0.96482,0.92885,0.76265,0.6565,0.66154,0.56503,0.39219,0.39127,0.55282,0.47262,0.62647,0.52571,0.57324,,,,,,,,,,,,,,,,,,,,
May1952,1.07648,-0.00532,-0.16583,0.06514,-0.01648,0.07177,0.16232,1.06122,1.00348,0.91989,0.95977,0.91232,0.7736,0.65918,0.7406,0.72827,1.11004,1.0551,0.89673,0.7916,0.79785,0.70693,0.5397,0.54665,0.69441,0.61023,0.75846,0.66859,0.7126,,,,,,,,,,,,,,,,,,,
Jun1952,0.16598,0.80497,-0.06886,-0.23187,0.01908,-0.0396,0.06512,0.13424,1.06651,1.01196,0.92786,0.96742,0.92421,0.77915,0.66449,0.74318,0.72176,1.10304,1.04901,0.88675,0.76992,0.77587,0.68244,0.51926,0.51968,0.67041,0.58798,0.7336,0.64567,0.68885,,,,,,,,,,,,,,,,,,
Jul1952,-0.10672,-0.11579,0.61928,-0.11988,-0.2745,-0.04411,-0.10765,0.00218,0.06085,1.02417,0.97074,0.88289,0.92814,0.88882,0.74336,0.6282,0.71126,0.70004,1.0745,1.02305,0.86535,0.7522,0.76187,0.66948,0.50569,0.49893,0.65405,0.56982,0.71644,0.63114,0.67782,,,,,,,,,,,,,,,,,
Aug1952,-2.13215,-1.35224,-1.10029,-0.34039,-0.774,-0.86922,-0.55834,-0.53561,-0.397,-0.31929,0.69538,0.64539,0.57314,0.63471,0.59895,0.43609,0.32104,0.40475,0.40532,0.80243,0.78437,0.62456,0.51404,0.52445,0.42343,0.2569,0.24305,0.41194,0.33505,0.48139,0.40887,0.47281,,,,,,,,,,,,,,,,
Sep1952,-1.35435,-2.26924,-1.82031,-1.56521,-0.98957,-1.32153,-1.42047,-1.09744,-0.96032,-0.78564,-0.71954,0.35346,0.2995,0.23693,0.31882,0.26172,0.09513,-0.00723,0.08586,0.11325,0.57759,0.59606,0.42809,0.32343,0.32832,0.21864,0.04036,0.02187,0.20131,0.13799,0.29755,0.22532,0.3023,,,,,,,,,,,,,,,
