DATA,SPEI_1,SPEI_2,SPEI_3,SPEI_4,SPEI_5,SPEI_6,SPEI_7,SPEI_8,SPEI_9,SPEI_10,SPEI_11,SPEI_12,SPEI_13,SPEI_14,SPEI_15,SPEI_16,SPEI_17,SPEI_18,SPEI_19,SPEI_20,SPEI_21,SPEI_22,SPEI_23,SPEI_24,SPEI_25,SPEI_26,SPEI_27,SPEI_28,SPEI_29,SPEI_30,SPEI_31,SPEI_32,SPEI_33,SPEI_34,SPEI_35,SPEI_36,SPEI_37,SPEI_38,SPEI_39,SPEI_40,SPEI_41,SPEI_42,SPEI_43,SPEI_44,SPEI_45,SPEI_46,SPEI_47,SPEI_48
Jan1950,1.45908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1950,0.12199,1.06623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1950,-0.87465,-0.49826,0.49921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1950,0.88935,-0.27867,-0.10446,0.73236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May1950,0.35326,0.82477,-0.04215,0.01331,0.77596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun1950,0.01563,0.22614,0.6296,-0.177,-0.07677,0.71345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul1950,-0.74245,-0.48152,-0.14155,0.27779,-0.42823,-0.29315,0.52522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug1950,-0.87625,-1.0258,-0.84202,-0.46342,-0.02572,-0.5957,-0.49791,0.30072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep1950,-1.31726,-1.56318,-1.56265,-1.33039,-0.9288,-0.5285,-0.9064,-0.80577,-0.10054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct1950,0.84737,0.08531,-0.21183,-0.39462,-0.41815,-0.27807,0.01254,-0.35595,-0.35658,0.24579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov1950,0.73179,0.93711,0.42042,0.18351,0.03673,0.03821,0.07289,0.29866,-0.02055,-0.0533,0.46284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec1950,2.40128,2.066,2.00752,1.76845,1.64952,1.52737,1.45786,1.43575,1.52717,1.24177,1.15541,1.4696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan1951,0.4335,2.07541,1.87159,1.89279,1.70164,1.60051,1.49267,1.4242,1.41499,1.4905,1.22986,1.17039,1.45266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1951,-0.36659,-0.01175,1.65348,1.59775,1.67116,1.47317,1.33742,1.22606,1.1776,1.17075,1.26851,1.02779,0.97209,1.27177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1951,0.91077,0.25896,0.34266,1.69222,1.67762,1.78726,1.63016,1.49865,1.38445,1.32661,1.3122,1.3986,1.16326,1.10895,1.38614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1951,-0.99747,0.13082,-0.14799,0.06413,1.45942,1.5028,1.65598,1.43843,1.29609,1.19454,1.15749,1.1572,1.25848,1.02618,0.96329,1.24793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May1951,1.73678,0.83009,1.25773,0.64574,0.64086,1.75134,1.71137,1.81994,1.66764,1.55243,1.47544,1.43471,1.44387,1.51334,1.29652,1.24094,1.46362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun1951,0.90488,1.63383,1.01336,1.472,0.8019,0.77778,1.7974,1.73061,1.84558,1.70243,1.60337,1.53689,1.49388,1.51861,1.5769,1.36189,1.30647,1.50715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul1951,0.01631,0.60456,1.43167,0.84709,1.27344,0.71109,0.70825,1.7614,1.69753,1.8166,1.66838,1.56776,1.4923,1.45679,1.48331,1.5457,1.31943,1.26452,1.46261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug1951,0.47122,0.25834,0.60862,1.32742,0.8414,1.17719,0.72715,0.72099,1.76228,1.7252,1.85395,1.69493,1.59373,1.50958,1.46449,1.49331,1.55549,1.32342,1.26899,1.46484,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep1951,0.19488,0.35669,0.26084,0.44696,1.05516,0.70392,0.94826,0.5988,0.62572,1.68352,1.69216,1.8395,1.65683,1.54629,1.45232,1.41745,1.43952,1.51104,1.28912,1.24245,1.43554,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct1951,2.10207,1.81099,1.76463,1.62803,1.69443,1.92756,1.63817,1.81721,1.60967,1.58925,2.14742,2.08527,2.17028,2.07085,1.99985,1.92757,1.90009,1.95733,1.95607,1.72593,1.68707,1.80772,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov1951,-0.34556,1.44641,1.35286,1.3763,1.29252,1.38316,1.68682,1.43112,1.54709,1.33255,1.31062,1.93817,1.92786,2.02964,1.93348,1.85152,1.80126,1.77605,1.80734,1.81121,1.60872,1.57433,1.72175,,,,,,,,,,,,,,,,,,,,,,,,,
Dec1951,-0.7631,-0.79412,0.89652,0.83976,0.85936,0.81207,0.94702,1.28821,1.05888,1.20923,0.99552,0.99085,1.71333,1.73056,1.84151,1.73496,1.64009,1.58659,1.55594,1.56704,1.60085,1.41331,1.39372,1.55058,,,,,,,,,,,,,,,,,,,,,,,,
Jan1952,0.67341,-0.08449,-0.25081,1.04493,0.95846,0.97854,0.94062,1.04942,1.35714,1.15102,1.27057,1.09484,1.06548,1.76142,1.75995,1.9001,1.81472,1.72669,1.67378,1.63174,1.65898,1.70033,1.49505,1.48381,1.63979,,,,,,,,,,,,,,,,,,,,,,,
Feb1952,0.31963,0.55765,-0.00789,-0.14094,0.98823,0.90879,0.91903,0.88875,0.9905,1.27718,1.09875,1.21661,1.06222,1.04145,1.73746,1.76013,1.91547,1.83558,1.74981,1.6902,1.64588,1.69054,1.74601,1.52132,1.51176,1.67557,,,,,,,,,,,,,,,,,,,,,,
Mar1952,-1.17572,-0.54361,-0.07368,-0.42699,-0.5137,0.62424,0.53228,0.53957,0.51553,0.63893,0.9631,0.78714,0.93431,0.7596,0.7546,1.52107,1.59391,1.77153,1.66203,1.56704,1.4947,1.44907,1.48902,1.56434,1.34245,1.33432,1.52747,,,,,,,,,,,,,,,,,,,,,
Apr1952,-2.28153,-2.01018,-1.31918,-0.63719,-0.87376,-0.93418,0.21744,0.13728,0.15762,0.13925,0.28122,0.62571,0.45754,0.63748,0.45814,0.47918,1.28242,1.38893,1.5611,1.42813,1.32065,1.24129,1.20438,1.23629,1.32142,1.12159,1.10742,1.32033,,,,,,,,,,,,,,,,,,,,
May1952,-0.65034,-1.89338,-2.08408,-1.4537,-0.80935,-0.97357,-1.02775,0.09415,0.02633,0.04752,0.02468,0.15698,0.49344,0.33399,0.53246,0.35988,0.39333,1.1749,1.2791,1.4304,1.29013,1.18188,1.10524,1.07465,1.10064,1.18735,1.01123,0.99419,1.20377,,,,,,,,,,,,,,,,,,,
Jun1952,-1.67464,-1.27369,-2.09637,-2.08784,-1.6745,-1.06744,-1.17557,-1.22572,-0.14012,-0.1904,-0.16605,-0.1914,-0.05934,0.28091,0.12656,0.33115,0.17385,0.23215,1.0267,1.14119,1.28775,1.13531,1.02551,0.94987,0.92461,0.94472,1.03655,0.8704,0.85386,1.07357,,,,,,,,,,,,,,,,,,
Jul1952,0.14112,-1.04873,-1.09443,-1.82785,-1.88825,-1.57317,-1.03794,-1.1407,-1.17739,-0.15813,-0.20766,-0.18382,-0.20295,-0.07662,0.25767,0.10603,0.31165,0.15918,0.22312,0.99966,1.11648,1.2614,1.11106,1.00267,0.92857,0.90532,0.92386,1.01268,0.85052,0.83843,1.05499,,,,,,,,,,,,,,,,,
Aug1952,-0.84486,-0.50201,-1.21889,-1.22097,-1.8766,-1.92873,-1.61011,-1.12447,-1.20584,-1.24506,-0.30842,-0.34493,-0.31774,-0.33291,-0.20922,0.12057,-0.0258,0.19127,0.04989,0.12827,0.90757,1.03272,1.17334,1.01663,0.90709,0.83277,0.81153,0.82606,0.9171,0.76378,0.75621,0.97585,,,,,,,,,,,,,,,,
Sep1952,0.1211,-0.33923,-0.25988,-0.90256,-1.01687,-1.65221,-1.80181,-1.475,-1.08488,-1.16625,-1.20724,-0.35872,-0.38116,-0.34929,-0.35755,-0.24013,0.08608,-0.05954,0.16022,0.02451,0.10618,0.88323,1.01417,1.14964,0.99378,0.88733,0.8123,0.79254,0.80783,0.8995,0.7497,0.74284,0.96544,,,,,,,,,,,,,,,
Oct1952,0.34135,0.22672,-0.06641,-0.05462,-0.49463,-0.6519,-1.18012,-1.47147,-1.23924,-0.91398,-1.01988,-1.07956,-0.22411,-0.25524,-0.22598,-0.23482,-0.12919,0.16519,0.0357,0.238,0.11681,0.19137,0.90911,1.02579,1.15182,0.99725,0.89911,0.83209,0.81695,0.82873,0.9124,0.77081,0.75805,0.96732,,,,,,,,,,,,,,
Nov1952,1.35595,1.11619,1.01028,0.78641,0.76549,0.45056,0.16697,-0.33918,-0.69998,-0.59051,-0.34247,-0.51722,-0.5885,0.22766,0.18893,0.19987,0.1813,0.28283,0.55668,0.42562,0.59006,0.46774,0.50961,1.17269,1.27032,1.39564,1.26329,1.17697,1.11113,1.09229,1.11251,1.18098,1.0331,1.01299,1.2137,,,,,,,,,,,,,
Dec1952,1.27074,1.64314,1.49976,1.4382,1.28426,1.25586,0.98672,0.74728,0.27019,-0.09725,-0.06064,0.12925,-0.07815,-0.14389,0.60073,0.57068,0.57435,0.55558,0.64281,0.88002,0.75208,0.88102,0.77419,0.7846,1.36015,1.43324,1.55189,1.44015,1.3708,1.3133,1.29641,1.32281,1.36958,1.23097,1.21305,1.38586,,,,,,,,,,,,
Jan1953,0.24598,1.06547,1.45943,1.40697,1.33734,1.19836,1.17746,0.93362,0.72964,0.31345,-0.01752,-0.01827,0.15031,-0.03537,-0.09338,0.60296,0.57743,0.57565,0.55443,0.63373,0.87624,0.75205,0.87648,0.77785,0.78362,1.36355,1.43561,1.56995,1.45326,1.38343,1.32401,1.29891,1.32208,1.3762,1.2337,1.20408,1.38356,,,,,,,,,,,
Feb1953,0.22345,0.19648,0.87717,1.32666,1.30307,1.24607,1.09705,1.07907,0.85699,0.67573,0.30332,0.01059,0.00876,0.1506,-0.03433,-0.09749,0.56698,0.5412,0.54223,0.51809,0.59531,0.84433,0.72004,0.84917,0.75085,0.75556,1.36046,1.43268,1.57054,1.4384,1.37257,1.31181,1.28535,1.30786,1.36481,1.21619,1.19269,1.36433,,,,,,,,,,
Mar1953,-1.33313,-0.71029,-0.43166,0.2994,0.90296,0.94094,0.85529,0.68366,0.67278,0.45338,0.28634,-0.06282,-0.32887,-0.3004,-0.13945,-0.28803,-0.35445,0.29865,0.27169,0.27625,0.2522,0.3327,0.5806,0.45974,0.60873,0.51126,0.52749,1.17589,1.26347,1.40575,1.2504,1.1728,1.10518,1.08102,1.1041,1.1746,1.03023,1.01011,1.19592,,,,,,,,,
Apr1953,0.21697,-1.1162,-0.6221,-0.37049,0.31344,0.89749,0.94851,0.86433,0.70183,0.69323,0.48717,0.3148,-0.03626,-0.29269,-0.2645,-0.1088,-0.27515,-0.34804,0.30746,0.2805,0.28667,0.26251,0.34124,0.58978,0.46867,0.61944,0.52472,0.54271,1.17538,1.26231,1.39967,1.24514,1.16935,1.10085,1.07459,1.09833,1.17024,1.02752,1.01208,1.19645,,,,,,,,
May1953,1.5085,1.19395,-0.00297,0.10041,0.12988,0.69269,1.15615,1.192,1.13872,0.99434,0.98678,0.79089,0.62076,0.28385,0.02881,0.03756,0.16872,-0.02237,-0.10129,0.53531,0.51151,0.51494,0.4913,0.5635,0.80147,0.68424,0.80985,0.71499,0.72033,1.30079,1.37647,1.5088,1.36832,1.30112,1.23849,1.21014,1.23392,1.29795,1.16206,1.14887,1.31467,,,,,,,
Jun1953,1.31588,1.67731,1.52556,0.48752,0.44469,0.4112,0.89636,1.28161,1.30939,1.27283,1.14333,1.13934,0.94918,0.79012,0.45803,0.19323,0.20021,0.31712,0.11918,0.04235,0.65939,0.64183,0.64243,0.61939,0.68924,0.92293,0.80449,0.91871,0.8231,0.82097,1.38078,1.4497,1.5848,1.45235,1.38917,1.32693,1.29679,1.3222,1.38064,1.24431,1.23417,1.39676,,,,,,
