DATA,SPEI_1,SPEI_2,SPEI_3,SPEI_4,SPEI_5,SPEI_6,SPEI_7,SPEI_8,SPEI_9,SPEI_10,SPEI_11,SPEI_12,SPEI_13,SPEI_14,SPEI_15,SPEI_16,SPEI_17,SPEI_18,SPEI_19,SPEI_20,SPEI_21,SPEI_22,SPEI_23,SPEI_24,SPEI_25,SPEI_26,SPEI_27,SPEI_28,SPEI_29,SPEI_30,SPEI_31,SPEI_32,SPEI_33,SPEI_34,SPEI_35,SPEI_36,SPEI_37,SPEI_38,SPEI_39,SPEI_40,SPEI_41,SPEI_42,SPEI_43,SPEI_44,SPEI_45,SPEI_46,SPEI_47,SPEI_48
Jan1950,0.99989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1950,-0.68595,0.24006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1950,0.14677,-0.45074,0.17603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1950,-1.43041,-0.88627,-1.08531,-0.30617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May1950,0.64851,-0.68713,-0.55745,-0.84567,-0.17558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun1950,-0.68851,0.0577,-1.08285,-0.85686,-1.06165,-0.31444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul1950,-0.97096,-1.03052,-0.44789,-1.32955,-1.14803,-1.23355,-0.4932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug1950,-0.25548,-0.7875,-0.94745,-0.47526,-1.21528,-1.09122,-1.26982,-0.52947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep1950,-0.39221,-0.52737,-0.86017,-1.01471,-0.72547,-1.29391,-1.14751,-1.36901,-0.69104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct1950,0.0639,-0.30054,-0.3654,-0.64836,-0.83113,-0.58409,-1.18807,-1.07309,-1.26588,-0.66144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov1950,-0.28858,-0.31305,-0.59776,-0.63688,-0.85888,-1.02907,-0.78126,-1.31832,-1.15169,-1.32379,-0.76362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec1950,0.90512,0.43149,0.3832,0.16731,0.12779,-0.03284,-0.16613,-0.08525,-0.50162,-0.44668,-0.73779,-0.32826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan1951,1.88636,1.71658,1.49018,1.45221,1.32051,1.25727,1.14241,1.05451,1.0802,0.75831,0.77932,0.47439,0.73628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1951,0.71983,2.17707,1.77542,1.58305,1.54765,1.37351,1.31516,1.21234,1.13508,1.16502,0.8779,0.89249,0.61797,0.81742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1951,1.15395,1.05462,2.35362,2.03637,1.76724,1.70176,1.54838,1.49615,1.39766,1.32977,1.35485,1.095,1.09151,0.82411,1.0414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1951,-0.74906,0.49941,0.70745,2.11276,1.99101,1.63743,1.58489,1.40896,1.36019,1.25634,1.18467,1.21482,0.94001,0.96397,0.68616,0.89734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May1951,1.42294,0.61066,1.19006,1.13148,2.41766,2.04829,1.80973,1.74278,1.56314,1.52481,1.42779,1.35911,1.39029,1.14491,1.14549,0.88606,1.10395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun1951,-0.55881,1.0679,0.30973,1.05376,1.04985,2.3593,2.00668,1.7756,1.73092,1.53878,1.49612,1.39268,1.32014,1.34881,1.0947,1.10172,0.83539,1.05844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul1951,-0.46539,-0.66709,0.72257,0.01861,0.88832,0.93116,2.31808,2.01195,1.75565,1.71951,1.51496,1.46443,1.35165,1.27482,1.30266,1.0415,1.05724,0.78587,1.00801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug1951,-0.15836,-0.41786,-0.6116,0.54658,-0.02663,0.73947,0.86467,2.18837,1.99073,1.72251,1.68782,1.48709,1.43079,1.31571,1.23651,1.26481,0.99872,1.02236,0.7514,0.97524,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep1951,-0.95627,-0.84657,-0.89415,-0.99753,-0.11056,-0.56141,0.24474,0.50997,1.86909,1.80015,1.51693,1.47615,1.29422,1.23879,1.12377,1.03988,1.07377,0.78126,0.83282,0.56288,0.78974,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct1951,0.91458,0.26239,0.21822,0.06367,-0.13876,0.47362,0.13806,0.66473,0.77399,1.90666,1.73187,1.49396,1.46431,1.33953,1.30086,1.20984,1.13996,1.17174,0.92314,0.94971,0.707,0.90541,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov1951,0.78011,1.01065,0.6257,0.59245,0.48728,0.33722,0.75874,0.49651,0.84208,0.92372,1.8269,1.76153,1.54082,1.53894,1.44466,1.40953,1.33323,1.26998,1.29098,1.0544,1.06349,0.83619,1.01997,,,,,,,,,,,,,,,,,,,,,,,,,
Dec1951,-0.21837,0.25392,0.62087,0.30234,0.27381,0.1997,0.09862,0.43578,0.18785,0.59119,0.7037,1.6441,1.6428,1.47112,1.44691,1.34479,1.3175,1.23733,1.17012,1.19496,0.94172,0.96921,0.74314,0.90846,,,,,,,,,,,,,,,,,,,,,,,,
Jan1952,-0.0244,-0.2041,0.12332,0.39411,0.10381,0.06328,0.00518,-0.08384,0.2427,0.02309,0.41088,0.55076,1.41477,1.46749,1.29995,1.27394,1.17311,1.13999,1.06162,0.9957,1.02846,0.81259,0.84345,0.64245,0.79544,,,,,,,,,,,,,,,,,,,,,,,
Feb1952,1.09444,0.52901,0.25193,0.48667,0.7402,0.50766,0.46306,0.39599,0.31891,0.58425,0.38461,0.72742,0.82851,1.59018,1.61136,1.45781,1.41447,1.33872,1.31659,1.24863,1.19221,1.22705,0.99879,1.01515,0.81239,0.97668,,,,,,,,,,,,,,,,,,,,,,
Mar1952,0.85559,1.15868,0.76302,0.40324,0.63501,0.88303,0.66577,0.6194,0.55783,0.48562,0.72783,0.5392,0.85394,0.94072,1.73486,1.69133,1.54955,1.52969,1.45441,1.4364,1.36748,1.31666,1.36045,1.12061,1.12018,0.9209,1.08481,,,,,,,,,,,,,,,,,,,,,
Apr1952,-1.18822,-0.0725,0.68916,0.34789,0.04032,0.33347,0.59615,0.37764,0.33653,0.28113,0.20771,0.4741,0.27396,0.63944,0.74447,1.54453,1.54969,1.41243,1.38504,1.31054,1.28722,1.2131,1.15609,1.19768,0.95975,0.97184,0.7713,0.92953,,,,,,,,,,,,,,,,,,,,
May1952,0.63767,-0.50122,0.17748,0.79048,0.44718,0.15665,0.40543,0.65154,0.44823,0.40849,0.35295,0.28199,0.52987,0.33989,0.68086,0.77535,1.54059,1.55904,1.43693,1.39955,1.32464,1.30431,1.23011,1.17813,1.21802,0.99015,1.00367,0.80949,0.96578,,,,,,,,,,,,,,,,,,,
Jun1952,-0.26728,0.29103,-0.69946,0.07383,0.73181,0.40205,0.11791,0.36644,0.6118,0.40804,0.36612,0.31092,0.23948,0.49295,0.29605,0.64806,0.75029,1.53439,1.55259,1.42849,1.39537,1.31544,1.29303,1.21766,1.16357,1.20628,0.96843,0.98382,0.78851,0.94131,,,,,,,,,,,,,,,,,,
