DATA,SPEI_1,SPEI_2,SPEI_3,SPEI_4,SPEI_5,SPEI_6,SPEI_7,SPEI_8,SPEI_9,SPEI_10,SPEI_11,SPEI_12,SPEI_13,SPEI_14,SPEI_15,SPEI_16,SPEI_17,SPEI_18,SPEI_19,SPEI_20,SPEI_21,SPEI_22,SPEI_23,SPEI_24,SPEI_25,SPEI_26,SPEI_27,SPEI_28,SPEI_29,SPEI_30,SPEI_31,SPEI_32,SPEI_33,SPEI_34,SPEI_35,SPEI_36,SPEI_37,SPEI_38,SPEI_39,SPEI_40,SPEI_41,SPEI_42,SPEI_43,SPEI_44,SPEI_45,SPEI_46,SPEI_47,SPEI_48
Jan1950,0.80496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1950,-0.52276,0.21169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1950,-0.05962,-0.4342,0.065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1950,-0.1645,-0.31601,-0.57334,-0.08523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May1950,1.41606,0.81309,0.50453,0.04554,0.34868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun1950,-1.12087,0.7092,0.35423,0.1301,-0.23476,0.15618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul1950,-1.65343,-1.89153,0.00427,-0.17929,-0.31938,-0.58122,-0.13818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug1950,-1.15304,-1.75002,-1.94383,-0.46463,-0.48501,-0.54382,-0.76483,-0.31195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep1950,-0.68033,-1.16002,-1.66543,-1.83723,-0.87554,-0.79576,-0.7678,-0.97102,-0.5513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct1950,-0.38036,-0.72392,-1.00875,-1.38834,-1.56688,-0.90155,-0.87494,-0.84697,-1.00676,-0.6323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov1950,0.42227,-0.06936,-0.36302,-0.62625,-0.97303,-1.22219,-0.60606,-0.64539,-0.62397,-0.80974,-0.50242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec1950,1.1305,1.02706,0.59503,0.26296,0.04525,-0.24748,-0.46731,0.01357,-0.07915,-0.12736,-0.40357,-0.12786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan1951,0.37024,1.03034,0.99583,0.66648,0.40036,0.19719,-0.04354,-0.22248,0.17807,0.10758,0.01971,-0.2543,-0.03003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1951,-0.12374,0.15363,0.66237,0.71932,0.48019,0.26343,0.10829,-0.08804,-0.23434,0.10166,0.043,-0.02986,-0.27307,-0.07791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1951,0.37493,0.09597,0.20239,0.6484,0.74102,0.50099,0.3033,0.16039,-0.01072,-0.13817,0.14902,0.07752,-1e-04,-0.22322,-0.03904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1951,-0.53954,-0.17625,-0.23752,-0.0575,0.42859,0.56678,0.35223,0.16175,0.02367,-0.14272,-0.27244,0.01426,-0.05324,-0.11778,-0.33356,-0.13607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May1951,-0.01926,-0.43174,-0.2163,-0.26599,-0.10503,0.37896,0.54251,0.34756,0.15705,0.02898,-0.14058,-0.27059,0.02,-0.0364,-0.10971,-0.33535,-0.13035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun1951,-0.14839,-0.23772,-0.58635,-0.34593,-0.3719,-0.16641,0.31407,0.48768,0.30076,0.10737,-0.02386,-0.19549,-0.32744,-0.03872,-0.09769,-0.15557,-0.37814,-0.17584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul1951,-0.1974,-0.35412,-0.36595,-0.64571,-0.427,-0.46304,-0.2486,0.2191,0.40249,0.22036,0.03706,-0.09459,-0.26073,-0.39464,-0.11231,-0.16406,-0.21516,-0.4287,-0.22545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug1951,-0.17586,-0.27841,-0.43343,-0.47069,-0.66025,-0.44983,-0.5041,-0.28942,0.16116,0.34433,0.17324,-0.00526,-0.1346,-0.29742,-0.4291,-0.15494,-0.20192,-0.2503,-0.45528,-0.2552,,,,,,,,,,,,,,,,,,,,,,,,,,,,
