DATA,SPEI_1,SPEI_2,SPEI_3,SPEI_4,SPEI_5,SPEI_6,SPEI_7,SPEI_8,SPEI_9,SPEI_10,SPEI_11,SPEI_12,SPEI_13,SPEI_14,SPEI_15,SPEI_16,SPEI_17,SPEI_18,SPEI_19,SPEI_20,SPEI_21,SPEI_22,SPEI_23,SPEI_24,SPEI_25,SPEI_26,SPEI_27,SPEI_28,SPEI_29,SPEI_30,SPEI_31,SPEI_32,SPEI_33,SPEI_34,SPEI_35,SPEI_36,SPEI_37,SPEI_38,SPEI_39,SPEI_40,SPEI_41,SPEI_42,SPEI_43,SPEI_44,SPEI_45,SPEI_46,SPEI_47,SPEI_48
Jan1950,1.28723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1950,-0.53155,0.43067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1950,0.75287,0.1007,0.60536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1950,-0.52384,0.18834,-0.27685,0.21335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May1950,0.16682,-0.30385,0.21105,-0.18426,0.26072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun1950,0.72463,0.52268,0.0262,0.39385,0.02424,0.43324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul1950,-1.00257,-0.13529,0.0553,-0.34735,0.0086,-0.30397,0.06179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug1950,-0.88421,-1.16766,-0.55972,-0.35172,-0.60782,-0.25358,-0.50175,-0.16099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep1950,-0.70569,-1.08329,-1.26673,-0.8369,-0.67914,-0.82957,-0.47918,-0.70644,-0.37459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct1950,0.08668,-0.39031,-0.72821,-0.96376,-0.69109,-0.581,-0.71308,-0.43917,-0.63763,-0.34375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov1950,-0.5583,-0.48886,-0.81823,-1.07239,-1.36005,-1.03058,-0.90518,-1.01386,-0.68726,-0.87064,-0.56164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec1950,0.1955,-0.44999,-0.4907,-0.74749,-0.97533,-1.24675,-0.97389,-0.84956,-0.97117,-0.65898,-0.86561,-0.5686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan1951,1.48443,0.95564,0.32914,0.21384,-0.07654,-0.29971,-0.58309,-0.37796,-0.31456,-0.47425,-0.23163,-0.4669,-0.21523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1951,0.00285,0.84822,0.66903,0.20289,0.07453,-0.1967,-0.39003,-0.61622,-0.4429,-0.41299,-0.55973,-0.32624,-0.54293,-0.30178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1951,0.41894,0.16,0.76152,0.63486,0.23756,0.14617,-0.07792,-0.25217,-0.45061,-0.29338,-0.2696,-0.43135,-0.23778,-0.42335,-0.20685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1951,0.27875,0.41115,0.14465,0.65674,0.58313,0.24303,0.16427,-0.04776,-0.2023,-0.38672,-0.21744,-0.2078,-0.38055,-0.17571,-0.36136,-0.14035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May1951,-0.82465,-0.43436,-0.11865,-0.22105,0.33295,0.28495,0.01004,-0.05764,-0.24034,-0.38718,-0.57647,-0.41876,-0.39864,-0.55639,-0.3367,-0.51485,-0.28924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun1951,-0.13276,-0.72372,-0.53995,-0.25825,-0.32911,0.22874,0.16675,-0.09188,-0.11694,-0.29435,-0.43031,-0.61365,-0.46272,-0.444,-0.58289,-0.37769,-0.54272,-0.33374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul1951,0.73622,0.36752,-0.11741,-0.09511,0.04744,-0.08581,0.34806,0.27471,0.01212,-0.01618,-0.19037,-0.31255,-0.47552,-0.33668,-0.33458,-0.46291,-0.26876,-0.4316,-0.23057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
