DATA,SPEI_1,SPEI_2,SPEI_3,SPEI_4,SPEI_5,SPEI_6,SPEI_7,SPEI_8,SPEI_9,SPEI_10,SPEI_11,SPEI_12,SPEI_13,SPEI_14,SPEI_15,SPEI_16,SPEI_17,SPEI_18,SPEI_19,SPEI_20,SPEI_21,SPEI_22,SPEI_23,SPEI_24,SPEI_25,SPEI_26,SPEI_27,SPEI_28,SPEI_29,SPEI_30,SPEI_31,SPEI_32,SPEI_33,SPEI_34,SPEI_35,SPEI_36,SPEI_37,SPEI_38,SPEI_39,SPEI_40,SPEI_41,SPEI_42,SPEI_43,SPEI_44,SPEI_45,SPEI_46,SPEI_47,SPEI_48
Jan1950,0.30241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1950,-0.69564,-0.32915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1950,0.98998,0.0519,0.09697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1950,-1.46427,0.16381,-0.45186,-0.29142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May1950,1.01011,-0.22707,0.57617,-0.03963,0.03257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun1950,-0.99653,0.29222,-0.63683,0.3385,-0.24805,-0.13276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul1950,-1.56426,-1.52751,-0.51204,-1.1884,-0.13013,-0.59442,-0.42407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug1950,-0.85006,-1.3838,-1.4376,-0.81357,-1.21969,-0.46562,-0.81449,-0.63091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep1950,-0.89454,-1.23498,-1.49143,-1.51362,-1.13159,-1.46378,-0.80596,-1.05773,-0.84879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct1950,0.33962,-0.22187,-0.56634,-1.02559,-1.19838,-0.75952,-1.12839,-0.51561,-0.79945,-0.65684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov1950,-0.95021,-0.50569,-0.90078,-1.1596,-1.50976,-1.65054,-1.23752,-1.55301,-1.01875,-1.1272,-0.9365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec1950,0.32536,-0.31381,-0.13983,-0.51,-0.76442,-1.16496,-1.31542,-0.93472,-1.25335,-0.76488,-0.94614,-0.78574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan1951,1.80091,1.42922,1.08235,1.07479,0.84866,0.72043,0.51938,0.3754,0.53122,0.25254,0.51424,0.22134,0.18381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1951,0.59215,1.73984,1.40626,1.07053,1.0663,0.8476,0.72762,0.54492,0.43637,0.58087,0.34633,0.5771,0.32781,0.2746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1951,1.53742,1.29662,2.03618,1.70205,1.36442,1.34938,1.15849,1.0531,0.89412,0.77254,0.90563,0.67306,0.87651,0.61877,0.54221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1951,0.14031,1.26522,1.1849,1.98378,1.64255,1.29063,1.28053,1.10099,0.996,0.84525,0.7331,0.8607,0.643,0.84069,0.5877,0.52334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May1951,1.46402,1.05241,1.55515,1.44189,2.01086,1.73288,1.44011,1.42119,1.25945,1.17108,1.04067,0.93201,1.04172,0.84111,1.01379,0.78026,0.7059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun1951,-1.36151,0.66169,0.50694,1.28645,1.21192,1.85517,1.5967,1.32516,1.31516,1.1498,1.05631,0.92263,0.82092,0.93076,0.72993,0.90398,0.67516,0.60945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul1951,-0.66934,-1.10208,0.24594,0.22088,1.12742,1.08033,1.78686,1.53051,1.2632,1.26231,1.09103,0.9903,0.85019,0.75076,0.86457,0.66466,0.83983,0.61312,0.554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug1951,-0.75622,-0.88016,-1.14157,-0.18393,-0.12884,0.83095,0.89226,1.69326,1.4557,1.18697,1.19634,1.02083,0.91055,0.7632,0.66399,0.78154,0.57388,0.7564,0.5151,0.47244,,,,,,,,,,,,,,,,,,,,,,,,,,,,
