DATA,SPEI_1,SPEI_2,SPEI_3,SPEI_4,SPEI_5,SPEI_6,SPEI_7,SPEI_8,SPEI_9,SPEI_10,SPEI_11,SPEI_12,SPEI_13,SPEI_14,SPEI_15,SPEI_16,SPEI_17,SPEI_18,SPEI_19,SPEI_20,SPEI_21,SPEI_22,SPEI_23,SPEI_24,SPEI_25,SPEI_26,SPEI_27,SPEI_28,SPEI_29,SPEI_30,SPEI_31,SPEI_32,SPEI_33,SPEI_34,SPEI_35,SPEI_36,SPEI_37,SPEI_38,SPEI_39,SPEI_40,SPEI_41,SPEI_42,SPEI_43,SPEI_44,SPEI_45,SPEI_46,SPEI_47,SPEI_48
Jan1950,1.23687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1950,0.33892,0.90732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1950,-0.56762,-0.21659,0.44055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1950,0.85653,0.00445,0.1687,0.68422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May1950,-0.04124,0.54711,-0.08445,0.0839,0.59428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun1950,-0.1418,-0.17451,0.30438,-0.20542,-0.01787,0.49512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul1950,-0.46562,-0.48132,-0.39227,0.08276,-0.35033,-0.13382,0.37609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug1950,-0.23005,-0.45383,-0.51715,-0.45841,-0.08415,-0.42632,-0.22309,0.26238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep1950,-0.31387,-0.42914,-0.55184,-0.65451,-0.66288,-0.33794,-0.57621,-0.41194,0.0263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct1950,1.05149,0.60122,0.44968,0.30282,0.17297,0.09351,0.33275,0.04219,0.07066,0.4654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov1950,0.82296,1.18316,0.87769,0.76271,0.6385,0.58034,0.46313,0.66318,0.37453,0.37583,0.68739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec1950,2.3085,2.09905,2.2905,2.04863,2.05144,1.95244,1.89191,1.88298,1.91893,1.65084,1.53959,1.73496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan1951,0.47753,2.08461,1.9371,2.10902,2.05031,2.08627,1.97888,1.89543,1.91192,2.00737,1.67272,1.58034,1.73036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1951,-0.1394,0.11105,1.75727,1.70636,1.86297,1.79041,1.77957,1.69074,1.61793,1.59173,1.69564,1.45258,1.40801,1.56047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1951,-0.03601,-0.24014,0.00748,1.54794,1.57652,1.78725,1.69561,1.65331,1.57093,1.51458,1.47975,1.59914,1.38105,1.33422,1.48989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1951,-0.63017,-0.46793,-0.43987,-0.17746,1.41866,1.49046,1.73326,1.61089,1.55013,1.46872,1.42236,1.38352,1.50177,1.29385,1.26077,1.41638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May1951,1.31829,0.56656,0.31687,0.07418,0.19747,1.58919,1.62011,1.82408,1.7365,1.69398,1.61853,1.56654,1.54688,1.64299,1.43933,1.38483,1.51366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun1951,0.98325,1.41664,0.85034,0.57713,0.28932,0.37954,1.62688,1.64101,1.8379,1.75435,1.71291,1.64253,1.60123,1.59269,1.68534,1.48685,1.44002,1.55944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul1951,-0.41567,0.46243,1.09942,0.59861,0.3768,0.17023,0.27238,1.55657,1.59,1.81201,1.72668,1.67899,1.60323,1.55461,1.54276,1.63899,1.43201,1.38627,1.50471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug1951,0.06125,-0.23444,0.25893,0.83643,0.44275,0.28822,0.12062,0.22345,1.48,1.53514,1.77403,1.68759,1.62659,1.54742,1.4981,1.47939,1.56518,1.37007,1.32463,1.44535,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep1951,0.28758,0.16305,-0.02318,0.21152,0.61977,0.34253,0.24469,0.0782,0.1651,1.45044,1.53331,1.78252,1.67484,1.6103,1.52372,1.47161,1.45321,1.55341,1.34699,1.30677,1.41508,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct1951,1.53532,1.27048,1.17568,1.01008,1.17356,1.37782,1.1404,1.03875,0.79971,0.8536,1.79552,1.79844,1.97594,1.92117,1.89161,1.82108,1.76735,1.78863,1.85515,1.6084,1.56304,1.654,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov1951,-0.2101,0.89618,0.84176,0.7988,0.67938,0.87507,1.11589,0.91789,0.78658,0.59309,0.63606,1.62251,1.67182,1.83723,1.78952,1.7561,1.70475,1.65713,1.67122,1.72811,1.5261,1.49128,1.59312,,,,,,,,,,,,,,,,,,,,,,,,,
Dec1951,0.21672,-0.04371,0.80489,0.77479,0.71827,0.60226,0.76815,1.0048,0.81198,0.72256,0.56489,0.61548,1.55769,1.61918,1.79773,1.75082,1.69147,1.63525,1.57925,1.5687,1.64167,1.46816,1.45152,1.54761,,,,,,,,,,,,,,,,,,,,,,,,
Jan1952,1.21895,0.86515,0.54572,1.15657,1.09308,1.05898,0.95282,1.08782,1.3253,1.14983,1.03207,0.85908,0.87541,1.72396,1.74859,1.90786,1.88694,1.8438,1.78579,1.72629,1.7084,1.79008,1.60545,1.59194,1.68262,,,,,,,,,,,,,,,,,,,,,,,
Feb1952,0.19149,0.80603,0.664,0.46558,1.05059,0.99375,0.94358,0.85951,0.97837,1.17426,1.03959,0.95356,0.80965,0.8209,1.6476,1.69827,1.85225,1.83638,1.80754,1.75404,1.69864,1.68147,1.77908,1.59331,1.57104,1.66056,,,,,,,,,,,,,,,,,,,,,,
Mar1952,-0.64807,-0.36615,0.31937,0.33771,0.22037,0.81732,0.77004,0.7071,0.63569,0.75565,0.93984,0.81668,0.75559,0.61899,0.63657,1.48792,1.56664,1.73358,1.70168,1.67954,1.62698,1.56943,1.55124,1.64699,1.4703,1.44867,1.55049,,,,,,,,,,,,,,,,,,,,,
Apr1952,-1.77528,-1.55555,-0.97896,-0.18873,-0.05374,-0.13923,0.52347,0.47744,0.41451,0.34894,0.48181,0.66981,0.5365,0.50423,0.37535,0.41817,1.3149,1.42678,1.60855,1.56313,1.52883,1.46852,1.41366,1.39095,1.4922,1.32711,1.30965,1.41465,,,,,,,,,,,,,,,,,,,,
May1952,-0.59039,-1.61186,-1.61131,-1.10914,-0.38583,-0.2156,-0.26681,0.39472,0.35902,0.29941,0.23643,0.36889,0.55684,0.43304,0.41781,0.30674,0.34772,1.209,1.32161,1.49567,1.44064,1.39506,1.3365,1.28817,1.26249,1.3559,1.2193,1.20884,1.31189,,,,,,,,,,,,,,,,,,,
Jun1952,-1.18154,-1.09582,-1.75479,-1.68969,-1.29512,-0.60142,-0.39276,-0.42344,0.21285,0.19063,0.14352,0.08486,0.2141,0.39967,0.28049,0.27575,0.17223,0.22407,1.09241,1.22031,1.40219,1.33997,1.29324,1.2336,1.18917,1.15906,1.25539,1.12398,1.1161,1.22483,,,,,,,,,,,,,,,,,,
Jul1952,0.05798,-0.85087,-0.9457,-1.56347,-1.55982,-1.25073,-0.59181,-0.40263,-0.43622,0.16433,0.14309,0.1026,0.04886,0.17831,0.36507,0.24798,0.24865,0.14996,0.20804,1.06586,1.19717,1.3821,1.31988,1.26905,1.20763,1.16462,1.13323,1.22618,1.09872,1.09556,1.20768,,,,,,,,,,,,,,,,,
