DATA,SPEI_1,SPEI_2,SPEI_3,SPEI_4,SPEI_5,SPEI_6,SPEI_7,SPEI_8,SPEI_9,SPEI_10,SPEI_11,SPEI_12,SPEI_13,SPEI_14,SPEI_15,SPEI_16,SPEI_17,SPEI_18,SPEI_19,SPEI_20,SPEI_21,SPEI_22,SPEI_23,SPEI_24,SPEI_25,SPEI_26,SPEI_27,SPEI_28,SPEI_29,SPEI_30,SPEI_31,SPEI_32,SPEI_33,SPEI_34,SPEI_35,SPEI_36,SPEI_37,SPEI_38,SPEI_39,SPEI_40,SPEI_41,SPEI_42,SPEI_43,SPEI_44,SPEI_45,SPEI_46,SPEI_47,SPEI_48
Jan1950,0.19952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1950,-1.34361,-0.8273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1950,1.97147,0.49695,0.41121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1950,-0.33249,1.4772,0.28492,0.22922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May1950,2.25001,1.43115,1.94403,0.96637,0.82138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun1950,0.85029,2.35861,1.52221,2.00554,1.02258,0.87954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul1950,-0.34831,0.20689,2.12606,1.35384,1.96645,0.94876,0.81838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug1950,0.15783,-0.0682,0.27296,1.89005,1.2647,1.9227,0.92663,0.8044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep1950,0.04022,-0.004,-0.21696,-0.02012,1.32059,0.94286,1.88562,0.80175,0.70938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct1950,-0.50229,-0.55091,-0.53046,-0.60783,-0.51308,0.46506,0.25993,1.16506,0.38116,0.34288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov1950,-0.36488,-0.744,-0.80235,-0.76022,-0.81047,-0.71508,0.09154,-0.06224,0.90792,0.13625,0.13295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec1950,-1.54256,-1.53917,-1.78176,-1.72285,-1.65953,-1.67438,-1.55181,-0.80107,-0.91627,0.06838,-0.54834,-0.50139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan1951,0.30225,-0.92871,-1.04353,-1.32558,-1.33813,-1.30329,-1.34697,-1.26651,-0.62509,-0.71347,0.14016,-0.42609,-0.44267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb1951,-1.13372,-0.58313,-1.28359,-1.37518,-1.64142,-1.64673,-1.61798,-1.6499,-1.58898,-1.04945,-1.11707,-0.31461,-0.82576,-0.8254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar1951,-1.11396,-1.59668,-1.08508,-1.52565,-1.62145,-1.78541,-1.76491,-1.7279,-1.74077,-1.68804,-1.24928,-1.30244,-0.63285,-1.04293,-1.01719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr1951,-1.76442,-1.62283,-1.8163,-1.37376,-1.6621,-1.76655,-1.88124,-1.87783,-1.84495,-1.85551,-1.80894,-1.40972,-1.46133,-0.84159,-1.20731,-1.16996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May1951,-1.07668,-1.75036,-1.75935,-1.82364,-1.47641,-1.72651,-1.86081,-1.95054,-1.95289,-1.91588,-1.91446,-1.86533,-1.50489,-1.54958,-0.97824,-1.30316,-1.25522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun1951,0.08832,-0.90968,-1.60632,-1.66957,-1.77753,-1.45787,-1.70195,-1.84386,-1.94883,-1.95517,-1.91329,-1.90781,-1.85891,-1.49901,-1.54174,-0.98313,-1.30201,-1.25435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul1951,0.44299,0.32732,-0.57521,-1.27393,-1.4396,-1.65129,-1.37687,-1.64017,-1.77255,-1.89825,-1.90126,-1.85771,-1.8473,-1.79859,-1.44296,-1.4906,-0.94842,-1.26795,-1.22021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
